left,right,exact,approximate,sample
1499,1588,0.01874008588893439,0.018981767792765752,neighbour
801,1930,0.01920073911234984,0.02365644447797641,neighbour
718,1235,0.028540741943071053,0.029254833561387007,neighbour
1777,1658,0.019156070322541904,0.02003866942855074,neighbour
215,576,0.02282598245391543,0.023722879102855865,neighbour
1764,1966,0.02957698726644097,0.030601009255384747,neighbour
961,955,0.021256694690159957,0.021920329872884274,neighbour
456,221,0.021608356205428215,0.022659768920171814,neighbour
1185,1874,0.0322696679469028,0.03476893292265202,neighbour
23,573,0.023042843259442437,0.022235770622158948,neighbour
973,724,0.022222018538069932,0.025843352985148123,neighbour
247,859,0.025024539232876272,0.025654542365786515,neighbour
35,108,0.03774691167162983,0.03722593823776524,neighbour
334,1623,0.021092801393229547,0.020898586829356778,neighbour
689,73,0.01901953010547135,0.02308615924900098,neighbour
347,1376,0.020424558992163847,0.02128682320974097,neighbour
145,253,0.026211934403768847,0.028715994377054438,neighbour
746,1715,0.019216732665708187,0.020626300087600625,neighbour
941,990,0.025996296703722124,0.031966133539875194,neighbour
461,746,0.020561103584846283,0.022545982831541068,neighbour
811,927,0.03248954639639906,0.03257394319071505,neighbour
1028,2151,0.05672543429422384,0.059288975925130126,neighbour
310,308,0.023368886199347447,0.02502541361632308,neighbour
2173,2066,0.02823675559649501,0.029409456808193554,neighbour
252,474,0.02291911536162078,0.024076979307860045,neighbour
641,637,0.033794368827924165,0.03471905728619465,neighbour
668,242,0.018321091079154386,0.018869351540856096,neighbour
752,734,0.0201385727131811,0.020497716342409194,neighbour
1716,788,0.016739506890248848,0.017313812315171626,neighbour
359,393,0.018409744938301734,0.021068940366454073,neighbour
670,355,0.023311536916176653,0.022223619568873976,neighbour
2171,2186,0.04476393260491866,0.045840658897570274,neighbour
883,1243,0.03826319721101259,0.03706421308292454,neighbour
1747,1543,0.020555024759818474,0.021224108820452035,neighbour
