stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv,distance,sigma
uptake,ISO_TRI,2,maxent,0.0001,,True,0.011478910482566052,0.0016561489168288178,2.6005476249556257e-07,3000,0.31638041304525333,0.4531368388642525,0.2304827480904942,64.4780791599664,0.23048274809049418,0.0037182662126401724,2.128304092350678,9.17731126801508,1.0321435354168846,2.950042271630815e-05,,
uptake,ISO_TRI,31,hierarchical_w1,0.1,0.02,True,0.011203279589065017,0.0017020658453270343,1.2356456436104693e-06,3000,0.3181843341889828,0.4624864985207907,0.21932916729022672,65.43545291371566,0.2193291672902266,0.004039290743393899,2.3789633620946313,9.712459024643719,1.0303760871346974,,w1,0.0040816326530546
uptake,ISO_TRI,0,unregularised,0.0,,True,0.011268437802116029,0.0017119653167878741,0.0007643276638382892,3000,0.32230855032889744,0.45014340210220216,0.22754804756890046,64.71074953616778,0.22754804756890043,0.004021522986749616,2.7862477855228778,8.332556736050801,1.0323345794002108,0.0011420024733717754,,
uptake,ISO_TRI,37,hierarchical_logpf_profile,0.1,0.02,True,0.012406845339989883,0.0018848412202432125,0.0008598330174787604,3000,0.36876655581235096,0.3811982142084984,0.2500352299791507,62.15530518473595,0.2500352299791506,0.004065322519969685,4.121831503424862,9.340995651424501,1.0082602698516039,,logpf_profile,0.0040816326530546
uptake,ISO_TRI,26,hierarchical_rmsd,0.1,0.04,True,0.013090872889039451,0.001988515288729228,0.0015632285894351813,1000,0.33810375824852673,0.43076175203136263,0.23113448972011066,64.29159399661508,0.23113448972011064,0.004117751084257626,3.807392100614356,6.004066040775894,1.1079676226493524,,rmsd,0.007993197278914
uptake,ISO_TRI,19,hybrid_logpf,0.1,0.02,True,0.013221565284131195,0.0020082659119684387,0.003755984913337011,3000,0.3560684756171571,0.3689494279411576,0.27498209644168553,60.190913938688475,0.2749820964416854,0.0034008101033767527,5.91236069761346,3.583418520591623,1.0397394042208383,0.0030846311764433643,,
uptake,ISO_TRI,7,scalar_logpf,0.1,0.02,True,0.01958384493142663,0.002945708273842589,0.003252218244623393,1000,0.31137686201944537,0.3749868621174046,0.3136362758631499,57.607758251139195,0.31363627586314996,0.0045146314304305045,19.204286280389894,70.41177308235277,1.0633681789598648,0.00360212431106563,,
uptake,ISO_TRI,13,profile_logpf,0.1,0.02,True,0.04607398435649224,0.006835204270683877,5.6600300735926656e-08,1000,0.10674758957145064,0.4905341636197864,0.40271824680876295,47.98895414467152,0.40271824680876295,0.2491871597835753,43.72852045414803,284.18812419056474,232.91136012594168,1.018702806832028e-08,,
