anchor,overlap,distance_ratio
485,0.95,1.002384502357364
1996,0.9,1.0076915771429498
1791,0.85,1.015219307477027
1935,1.0,1.0
1515,0.85,1.011266235551665
1013,0.95,1.0004478900712506
1743,0.8,1.0159847570682528
613,0.85,1.015119555117637
1161,0.9,1.008012042127129
1181,0.9,1.0101996278790084
1628,0.85,1.01373762710057
892,0.9,1.007112520523467
535,0.8,1.0070179989224566
243,0.85,1.0118114215452245
221,0.85,1.011988122020545
2067,0.9,1.005741554361929
