stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv,distance,sigma
uptake,ISO_TRI,0,unregularised,0.0,,True,0.011268437802116029,0.0017119653167878741,0.0007643276638382892,3000,0.32230855032889744,0.45014340210220216,0.22754804756890046,64.71074953616778,0.22754804756890043,0.004021522986749616,2.7862477855228778,8.332556736050801,1.0323345794002108,0.0011420024733717754,,
uptake,ISO_TRI,1,maxent,1e-05,,True,0.01122460358262746,0.0016925770498830044,6.813170458516581e-05,3000,0.321028686490275,0.45107689248308114,0.22789442102664376,64.68582387551022,0.2278944210266438,0.003959296644804869,2.5820363423793,8.832541065105351,1.0271271739168768,8.711197188106257e-05,,
uptake,ISO_TRI,2,maxent,0.0001,,True,0.011478910482566052,0.0016561489168288178,2.6005476249556257e-07,3000,0.31638041304525333,0.4531368388642525,0.2304827480904942,64.4780791599664,0.23048274809049418,0.0037182662126401724,2.128304092350678,9.17731126801508,1.0321435354168846,2.950042271630815e-05,,
uptake,ISO_TRI,3,maxent,0.001,,True,0.015413161889648825,0.0017770483803174596,5.174457959068984e-07,1000,0.31099501573267785,0.4470582163717646,0.2419467678955574,63.51865089903408,0.24194676789555747,0.0036493748381218835,2.0271551104036916,9.32335175911195,1.0838991569504588,3.5168114635580894e-06,,
uptake,ISO_TRI,4,maxent,0.01,,True,0.03559174726503864,0.0032818528906415827,8.426675052813334e-09,1000,0.300244743279087,0.37683893530699264,0.3229163214139203,56.97067712321776,0.32291632141392035,0.0035600281670000143,1.0566985406537737,21.067494069176956,3.0494094164226793,5.713559477760199e-07,,
uptake,ISO_TRI,5,maxent,0.1,,True,0.07535403386153548,0.00794363239542925,6.3113391385467414e-09,1000,0.19590543623656906,0.36056517786312986,0.443529385900301,48.11084304171253,0.44352938590030105,0.013214819591731262,1.138971789589697,799.3521395830999,1299.3614196962058,2.9178876544133647e-06,,
uptake,ISO_TRI,6,maxent,1.0,,True,0.09034219449664974,0.013580663092194606,5.814201405134702e-07,1000,0.02207666554001566,0.38104248502704663,0.5968808494329376,31.826429245688004,0.5968808494329376,0.9981463141935402,43.970321546331355,829.326046680155,1348.9094294516806,5.6608529474498626e-06,,
uptake,ISO_TRI,7,scalar_logpf,0.1,0.02,True,0.01958384493142663,0.002945708273842589,0.003252218244623393,1000,0.31137686201944537,0.3749868621174046,0.3136362758631499,57.607758251139195,0.31363627586314996,0.0045146314304305045,19.204286280389894,70.41177308235277,1.0633681789598648,0.00360212431106563,,
uptake,ISO_TRI,8,scalar_logpf,0.1,0.04,True,0.020574722855810405,0.0031069809552571994,3.653119062192062e-05,1000,0.2871986485153342,0.3946059824991423,0.3181953689855237,57.43064356346661,0.3181953689855236,0.003630987125572628,2.7716527979625774,90.24120784910654,1.0970255890852656,2.457840848502091e-05,,
uptake,ISO_TRI,9,scalar_logpf,0.1,0.08,False,0.03138614528812969,0.004637502006400797,0.015517231207307821,10000,0.12752083734008432,0.4408923105843268,0.4315868520755889,47.28362159839341,0.4315868520755889,0.005706263230400775,33.919640154055934,241.2401982332922,2.404159199376183,0.009305374873829889,,
