ensemble,prediction,mse,weights,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
reference,frame_uptake,0.0,,,,,,,,,,
reference,uptake,0.008749431723718054,,,,,,,,,,
reference,rate,0.0141089631107748,,,,,,,,,,
ISO_BI,frame_uptake,0.0027398593974243004,uniform,0.05034324942791763,0.9496567505720823,0.0,62.57046623304981,0.34965675057208234,0.9999999999999996,44.00000000000003,829.9999999999998,
ISO_BI,uptake,0.013234666729836506,uniform,0.05034324942791763,0.9496567505720823,0.0,62.57046623304981,0.34965675057208234,0.9999999999999996,44.00000000000003,829.9999999999998,
ISO_BI,rate,0.013686717964086435,uniform,0.05034324942791763,0.9496567505720823,0.0,62.57046623304981,0.34965675057208234,0.9999999999999996,44.00000000000003,829.9999999999998,
ISO_BI,frame_uptake,4.5280521513233985e-05,true_populations_uniform_within_state,0.4000000000000001,0.6000000000000002,0.0,100.0,1.3877787807814457e-16,0.2811147539368381,44.00000000000001,830.0000000000006,
ISO_BI,uptake,0.008493456255972634,true_populations_uniform_within_state,0.4000000000000001,0.6000000000000002,0.0,100.0,1.3877787807814457e-16,0.2811147539368381,44.00000000000001,830.0000000000006,
ISO_BI,rate,0.014076125830742536,true_populations_uniform_within_state,0.4000000000000001,0.6000000000000002,0.0,100.0,1.3877787807814457e-16,0.2811147539368381,44.00000000000001,830.0000000000006,
ISO_TRI,frame_uptake,0.0013089625583131356,uniform,0.019775280898876407,0.37303370786516854,0.6071910112359551,31.06176118138467,0.6071910112359551,1.0,43.99999999999999,830.0000000000001,1351.0000000000002
ISO_TRI,uptake,0.013875267214776506,uniform,0.019775280898876407,0.37303370786516854,0.6071910112359551,31.06176118138467,0.6071910112359551,1.0,43.99999999999999,830.0000000000001,1351.0000000000002
ISO_TRI,rate,0.016490027730206257,uniform,0.019775280898876407,0.37303370786516854,0.6071910112359551,31.06176118138467,0.6071910112359551,1.0,43.99999999999999,830.0000000000001,1351.0000000000002
ISO_TRI,frame_uptake,4.52805215132339e-05,true_populations_uniform_within_state,0.4000000000000001,0.6000000000000002,0.0,100.0,1.3877787807814457e-16,0.1104244022205827,44.00000000000001,830.0000000000006,
ISO_TRI,uptake,0.008493456255972639,true_populations_uniform_within_state,0.4000000000000001,0.6000000000000002,0.0,100.0,1.3877787807814457e-16,0.1104244022205827,44.00000000000001,830.0000000000006,
ISO_TRI,rate,0.014076125830742539,true_populations_uniform_within_state,0.4000000000000001,0.6000000000000002,0.0,100.0,1.3877787807814457e-16,0.1104244022205827,44.00000000000001,830.0000000000006,
