bc,bh,legacy_expfact_reconstruction_rmse,legacy_observed_rmse,legacy_expfact_pf_rmse,fast_expfact_reconstruction_rmse,fast_observed_rmse,fast_expfact_pf_rmse,slow-N_expfact_reconstruction_rmse,slow-N_observed_rmse
0.0,0.0,0.383924359274271,0.4432571051770126,4.606856509764903,0.383924359274271,0.4432571051770126,4.606856509764903,0.3839243592742716,0.44325710517701344
0.0,0.1,0.380582782495814,0.43993532586464495,4.5392729454718586,0.38058927711260837,0.4399419831870819,4.539424126419879,0.3805800296416757,0.439932735358842
0.0,0.2,0.377276844212762,0.43661961207241873,4.4722553174214825,0.37730263210859055,0.43664618673268907,4.472859864948869,0.37726632186689035,0.4366098126867893
0.0,0.30000000000000004,0.3740003516551439,0.43330230180724955,4.405829451272389,0.37405767953955915,0.43336171382887717,4.40718874541712,0.3739779971106435,0.43328171891332845
0.0,0.4,0.37074810512756284,0.4299764760549703,4.340022518602415,0.3708482807984965,0.430080943727871,4.342436366560192,0.3707105712367532,0.42994229475276646
0.0,0.5,0.3675146866207184,0.4266349245396325,4.274863102958434,0.3676678484323092,0.426795760229744,4.27862890925559,0.36745836286546385,0.42658403951679313
0.0,0.6000000000000001,0.3642930256577278,0.4232689095194124,4.210381267163016,0.3645083002755151,0.42349668280018227,4.215793134724613,0.36421257527052076,0.42319637258009074
0.0,0.7000000000000001,0.3610733064839538,0.4198672036013911,4.1466086214521765,0.3613594573430781,0.4201723664572934,4.153956377360282,0.3609603478251231,0.4197648100017667
0.0,0.8,0.3578427598998639,0.41641586416051785,4.083578391914167,0.3582091943467441,0.4168097272165468,4.093146532189923,0.35768535074314645,0.4162715355853892
0.0,0.9,0.3545865266969695,0.41289890502145726,4.021325488579296,0.3550443432515578,0.4133946902725845,4.033392037035547,0.35436967111886936,0.4126970872769863
0.0,1.0,0.3512892545492828,0.4092995827887003,3.9598865723741654,0.3518520112485506,0.40991327520351345,3.974721849432467,0.35099614066995344,0.40902239176827365
0.0,1.1,0.34793684127331825,0.4056018134594666,3.899300119998892,0.34862086595316366,0.4063526492006664,3.9171654183137408,0.34755033079063924,0.4052304839759077
0.0,1.2000000000000002,0.34451787893299096,0.401791359365804,3.8396064856128174,0.34534209279726646,0.4027019139118105,3.8607526503762344,0.34402177933256395,0.4013075257245302
0.0,1.3,0.3410245723456293,0.3978565971034014,3.7808479580219947,0.3420099345944222,0.39895255999088064,3.8055138709278697,0.34040423850919016,0.39724291248873816
0.0,1.4000000000000001,0.33745301334005534,0.3937887474937529,3.7230688118514053,0.33862183221506265,0.3950986043361485,3.7514797788908747,0.33669502126864276,0.39302854298603096
0.0,1.5,0.3338028190061688,0.38958155654033955,3.666315350957233,0.335178228561405,0.3911364559217167,3.6986813955186153,0.3328939345138801,0.3886577370031523
0.0,1.6,0.33007637027091624,0.38523063102143007,3.6106359420926353,0.33168214338694463,0.3870645982303267,3.6471500062887334,0.3290024722854304,0.38412444853097605
0.0,1.7000000000000002,0.32627805917821334,0.3807327926024536,3.5560810365879085,0.3281386686076314,0.3828832178863132,3.5969170953754146,0.325023705012971,0.37942317918975804
0.0,1.8,0.3224138972392887,0.37608575979019493,3.5027031775489537,0.32455453149448205,0.37859390769991197,3.548014272088023,0.3209629288617062,0.37454968462774596
0.0,1.9000000000000001,0.3184916111248537,0.3712882732313278,3.450556989824314,0.320937817389046,0.3741995199747539,3.5004731886974123,0.31682896080502976,0.3695024789649603
0.0,2.0,0.31452117751101183,0.3663406696254917,3.3996991497516076,0.317297867958391,0.36970417714443204,3.454325449156111,0.3126358651401006,0.36428504176067744
0.0,2.1,0.31051571736325445,0.3612459333457477,3.3501883314823697,0.313645317600804,0.36511340291547906,3.40960250835051,0.3084046022169454,0.3589081684194842
0.0,2.2,0.3064926343051519,0.3560111987098616,3.302085126516564,0.3099922149509829,0.3604343305405809,3.3663355616944446,0.304163761115873,0.3533913482789588
0.0,2.3000000000000003,0.3024747033710514,0.35064937930060847,3.255451932974232,0.3063521827391782,0.3556759555823984,3.3245554250720173,0.2999486734121079,0.3477621344679128
0.0,2.4000000000000004,0.2984906091848543,0.34518025142088826,3.2103528111146766,0.3027405732843424,0.35084940170340334,3.284292405348697,0.295798959044274,0.3420534507516997
0.0,2.5,0.29457446449518493,0.33963030900594404,3.1668533017082723,0.29917456901457506,0.3459681512300921,3.2455761618769183,0.2917554236393833,0.33629999164692564
0.0,2.6,0.29076422009414354,0.3340312048944318,3.1250202040997648,0.29567316622761647,0.34104817046638053,3.208435559609382,0.2878575203537849,0.3305353320502439
0.0,2.7,0.28709939317747185,0.32841730680202946,3.084921311201527,0.29225698070938344,0.33610785258939196,3.1728985145854565,0.28414211023143476,0.32479075986864536
0.0,2.8000000000000003,0.28361883084445516,0.3228233124576367,3.0466250992469406,0.28894783432447035,0.33116771970178355,3.138991832663194,0.2806434247837288,0.3190957536709522
0.0,2.9000000000000004,0.2803590949618473,0.3172827085985387,3.0102003709387843,0.2857681198973303,0.32624986775314313,3.1067410424272963,0.2773935472182339,0.31347925304845187
0.0,3.0,0.2773536248908863,0.3118272886044544,2.9757158516600692,0.28273998716057824,0.32137719071599113,3.076170223215755,0.27442267145545013,0.3079707485621974
0.0,3.1,0.27463241473571615,0.30648738659155594,2.943239739678798,0.27988443244198247,0.31657246760043445,3.0473018291875222,0.2717587434319798,0.30260056888983927
0.0,3.2,0.2722217805190306,0.3012922549344787,2.912839212763119,0.27722039890215644,0.31185742509575415,3.0201565103222134,0.2694265159169818,0.297399238413695
0.0,3.3000000000000003,0.270143922681806,0.29627012306124917,2.884579895301722,0.27476399746770874,0.30725189411548465,2.9947529312293772,0.2674463274655445,0.2923961799595631
0.0,3.4000000000000004,0.26841625727884283,0.29144775932695866,2.8585252918471395,0.27252794141902653,0.3027731612886791,2.9711075886825027,0.2658330033951952,0.2876182281678396
0.0,3.5,0.2670507078298344,0.28684964363163457,2.834736194897705,0.2705212545425036,0.29843558244358886,2.949234628914425,0.264595198926423,0.2830883913144187
0.0,3.6,0.26605323213979104,0.28249704206649207,2.813270076615279,0.2687492714214631,0.29425048314070085,2.9291456659431225,0.2637353226062947,0.2788251319849424
0.0,3.7,0.2654238165645964,0.2784073146986354,2.79418047593158,0.267213907415156,0.29022633048491703,2.910849602555576,0.26325000805079796,0.2748422438354992
0.0,3.8000000000000003,0.26515703691512155,0.27459369292280256,2.777516394003459,0.2659141425876358,0.2863691278609298,2.894352456061786,0.26313100468645234,0.2711492441844982
0.0,3.9000000000000004,0.26524311078168084,0.27106559279444703,2.7633217121104803,0.26484664287989107,0.282682963381528,2.8796571915213547,0.2633662992343466,0.2677520871610017
0.0,4.0,0.26566923656543245,0.267829371792117,2.7516346467267216,0.26400643448339545,0.2791706338439441,2.8667635658015835,0.26394126253431177,0.2646539675604913
0.025,0.0,0.35716585057750305,0.41687075451404837,4.100592194307234,0.3572191474157888,0.4169215241612693,4.101473507000182,0.3571389175491931,0.41684457270025427
0.025,0.1,0.353904848955316,0.4134302282636208,4.0354327933713705,0.35397015096040607,0.41349389849449125,4.0365462642190515,0.35387135077887294,0.41339787654783455
0.025,0.2,0.35063408367041693,0.40993993803911705,3.9709918275417264,0.3507221195644177,0.4100283427741,3.9726259195154006,0.3505884853700344,0.40989631501046664
0.025,0.30000000000000004,0.3473482308091691,0.406391830124273,3.9073048432099284,0.3474692099232175,0.40651659148799196,3.9097447537799233,0.3472840407208404,0.40633066679656704
0.025,0.4,0.3440393126930887,0.40277526417678433,3.8444093122250673,0.34420329166490954,0.40294821588112617,3.8479358670902286,0.34394826843714515,0.402688217441988
