# Iteration, weighted MSE to target, weighted RMSE to target, Total lambdas, Fractional change in lambda, Curr. stepsize, Beta_C, Beta_H 
     1 0.055966 0.236571 9.10514858e-03 1.00000000e+00 1.63318573e-04 3.50000000e-01 2.00000000e+00 
     2 0.055823 0.236269 1.82088645e-02 4.99960661e-01 1.63511876e-04 3.50000000e-01 2.00000000e+00 
     3 0.055682 0.235970 2.73110885e-02 3.33279429e-01 1.63697391e-04 3.50000000e-01 2.00000000e+00 
     4 0.055543 0.235676 3.64118176e-02 2.49938885e-01 1.63876350e-04 3.50000000e-01 2.00000000e+00 
     5 0.055406 0.235384 4.55110490e-02 1.99934557e-01 1.64048994e-04 3.50000000e-01 2.00000000e+00 
     6 0.055270 0.235096 5.46087801e-02 1.66598322e-01 1.64215582e-04 3.50000000e-01 2.00000000e+00 
     7 0.055136 0.234811 6.37050085e-02 1.42786706e-01 1.64376385e-04 3.50000000e-01 2.00000000e+00 
     8 0.055004 0.234529 7.27997317e-02 1.24927977e-01 1.64531682e-04 3.50000000e-01 2.00000000e+00 
     9 0.054873 0.234250 8.18929477e-02 1.11037839e-01 1.64681763e-04 3.50000000e-01 2.00000000e+00 
    10 0.054743 0.233973 9.09846543e-02 9.99257144e-02 1.64826923e-04 3.50000000e-01 2.00000000e+00 
    11 0.054615 0.233699 1.00074849e-01 9.08339636e-02 1.64967460e-04 3.50000000e-01 2.00000000e+00 
    12 0.054489 0.233428 1.09163532e-01 8.32574935e-02 1.65103676e-04 3.50000000e-01 2.00000000e+00 
    13 0.054363 0.233159 1.18250699e-01 7.68466243e-02 1.65235875e-04 3.50000000e-01 2.00000000e+00 
    14 0.054239 0.232892 1.27336349e-01 7.13515848e-02 1.65364360e-04 3.50000000e-01 2.00000000e+00 
    15 0.054116 0.232628 1.36420481e-01 6.65892091e-02 1.65489431e-04 3.50000000e-01 2.00000000e+00 
    16 0.053994 0.232366 1.45503093e-01 6.24221230e-02 1.65611388e-04 3.50000000e-01 2.00000000e+00 
    17 0.053873 0.232106 1.54584183e-01 5.87452756e-02 1.65730527e-04 3.50000000e-01 2.00000000e+00 
    18 0.053754 0.231849 1.63663751e-01 5.54769603e-02 1.65847139e-04 3.50000000e-01 2.00000000e+00 
    19 0.053635 0.231593 1.72741793e-01 5.25526723e-02 1.65961511e-04 3.50000000e-01 2.00000000e+00 
    20 0.053518 0.231339 1.81818310e-01 4.99208073e-02 1.66073922e-04 3.50000000e-01 2.00000000e+00 
    21 0.053401 0.231088 1.90893300e-01 4.75395907e-02 1.66184647e-04 3.50000000e-01 2.00000000e+00 
