l2_weight,x_regularisation,maxent_regularisation,mse,trial_index
97.73574219489636,2.0563601337349002,29.439915730875526,0.20085514306630708,0
0.0777538539708562,162.51847288451168,2.202641362329239,0.20614062039987124,1
0.8390094192569736,11.721398166664319,3.3987886650810504,0.2390510788075566,2
9.061006292681995,925.952863346271,0.254435499585955,0.20213215371861723,3
1.5386621476843783,24.208610913065186,0.7011956521137241,0.21862025860747245,4
0.16341846465664092,274.0550524249695,52.47386887109415,0.1848666045924206,5
0.01,1.0,0.1,0.20154583525169523,6
100.0,1000.0,100.0,0.21387393749375536,7
0.01,1.0,100.0,0.2604756131453284,8
100.0,1.0,0.1,0.21410476220843638,9
0.01,1000.0,0.1,0.20107058807677064,10
0.01,1000.0,100.0,0.2604221890349951,11
100.0,95.77844739287633,0.1,0.213576617610507,12
0.01,47.300853895595814,0.1,0.20162665126933424,13
1.317564447626753,1.0,0.1,0.20271735546234174,14
3.645231565509737,8.06393079944986,100.0,0.21036618739326202,15
100.0,1000.0,4.831232926309523,0.21718757803037927,16
100.0,1.0,2.6554611570251865,0.20144752322740006,17
100.0,17.48893752190194,100.0,0.200649661954401,18
0.37970457955180237,1000.0,0.1,0.20229203503623178,19
