temperature_k,ph,n_compared,mean_ln_ratio_to_moprp_kint,sd_ln_ratio_to_moprp_kint,rms_ln_ratio_to_moprp_kint,max_abs_ln_ratio_to_moprp_kint
278.0,2.5,97,-3.068260213182718,0.7072078392794413,3.1487082531950072,3.7887644490991064
278.0,4.0,97,-2.0102528742304555,0.42661511678896213,2.055022402852258,2.2690995698632515
278.0,4.4,97,-1.2459924544628125,0.41768911546219256,1.3141390313638253,2.2205178285981257
278.0,6.5,97,3.268816364646031,0.4745046305308295,3.303076606767226,3.9863646142870364
278.0,7.0,97,4.402167987585582,0.4824901938406132,4.428530205166906,5.095181225085942
278.0,7.4,97,5.304741348811633,0.4957064427425851,5.327851879995199,6.003786181075408
288.0,2.5,97,-1.993761515122249,0.6723336782448119,2.104071660872026,2.6283729062192744
288.0,4.0,97,-0.9248597150872012,0.424809555778404,1.0177566758669891,1.1800994462687633
288.0,4.4,97,-0.17239720273923156,0.41859441513008266,0.4527052903273914,1.2970481268619989
288.0,6.5,97,4.333688199381273,0.4756010821456251,4.359707535924238,5.051136591820267
288.0,7.0,97,5.463229853193059,0.4870403922616402,5.484896423134555,6.162471117865443
288.0,7.4,97,6.3621433217571814,0.5082540545231047,6.382412539981936,7.0718508714623125
293.0,2.5,97,-1.4781911343638636,0.6570653384130648,1.6176476404507256,2.8357110958112117
293.0,4.0,97,-0.40909064465243217,0.4241867807291486,0.5893128036005167,1.1125004434811003
293.0,4.4,97,0.33732441285605647,0.41902090842770817,0.5379277657904127,1.8038002627384806
293.0,6.5,97,4.838400548946236,0.47638260995351317,4.861795991514798,5.5563526402510215
293.0,7.0,97,5.9658757085741785,0.4903645089015713,5.985994514008991,6.668827521625103
293.0,7.4,97,6.863343688268705,0.5159835404770852,6.882712081537417,7.578556605331157
298.0,2.5,97,-0.9765005988195828,0.6431067008497858,1.1692474708858256,3.2393911460400457
298.0,4.0,97,0.08991557776243446,0.423723190032007,0.4331583462144678,1.6110022182183574
298.0,4.4,97,0.8302043755072944,0.4194235736219165,0.9301373227761779,2.2937076937643117
298.0,6.5,97,5.32583515252917,0.47739124093851343,5.3471882769208925,6.044665795553021
298.0,7.0,97,6.451226450652283,0.49448280813452683,6.470149609177229,7.158210482745615
298.0,7.4,97,7.347590514203645,0.5244511195625288,7.366283685904703,8.068266402351593
310.0,2.5,97,0.17335012870637911,0.6143020407864387,0.6382924599561721,4.155215374962882
310.0,4.0,97,1.2239236960765782,0.4231510243435919,1.2950081093262633,2.743580841927685
310.0,4.4,97,1.9492647503101435,0.4202785654738743,1.9940579578834823,3.405654342207503
310.0,6.5,97,6.430097589579954,0.4811142511741933,6.4480714895389335,7.152528316150671
310.0,7.0,97,7.550862070763934,0.5076361205149171,7.5679067411373975,8.268385092594135
310.0,7.4,97,8.446114639877349,0.5463556914492229,8.463767308446602,9.17914448979751
