bc,bh,legacy_combined_mse,fast_combined_mse,slow-N_combined_mse
0.0,0.0,0.2042135220579793,0.20421352205797927,0.2042135220579796
0.0,0.1,0.2012194578150719,0.20122449321997438,0.20121759210846651
0.0,0.2,0.19825505367550209,0.19827509964151746,0.19824814631634072
0.0,0.30000000000000004,0.19531349865846823,0.19535813400003144,0.19529938351189574
0.0,0.4,0.19238880711380288,0.19246686242270816,0.19236605193300146
0.0,0.5,0.1894748762987572,0.18959423174035983,0.18944181420077116
0.0,0.6000000000000001,0.18656440452056933,0.18673212445084825,0.18651774154090023
0.0,0.7000000000000001,0.18364809978797195,0.18387097652366158,0.18358170126259005
0.0,0.8,0.18071457513800054,0.18099996379116057,0.18061902264219065
0.0,0.9,0.1777510426280051,0.1781077265392564,0.17761412851348954
0.0,1.0,0.17474452378977062,0.17518335887082412,0.17455240438310085
0.0,1.1,0.17168312788546092,0.17221732959514222,0.17142170666748974
0.0,1.2000000000000002,0.16855707595927152,0.1692021318474282,0.1682131869285355
0.0,1.3,0.16535931476743002,0.16613261442629298,0.16492128191927932
0.0,1.4000000000000001,0.16208563763455439,0.16300602255040889,0.16154297808135196
0.0,1.5,0.15873432563894968,0.1598218018615627,0.15807680333081728
0.0,1.6,0.15530550081488714,0.1565812507253613,0.15452210561706942
0.0,1.7000000000000002,0.15180050767319453,0.1532871348161419,0.15087893802854724
0.0,1.8,0.14822158002658056,0.14994337144040423,0.14714858711545348
0.0,1.9000000000000001,0.1445718747940371,0.14655484402162736,0.14333469623966374
0.0,2.0,0.14085584951692406,0.14312734836420238,0.13944484481343744
0.0,2.1,0.1370799702950399,0.13966763486514416,0.13549208546912186
0.0,2.2,0.13325369614227994,0.136183504547209,0.13149556690922162
0.0,2.3000000000000003,0.12939047435460765,0.13268392607608312,0.12747954167321568
0.0,2.4000000000000004,0.1255082478539259,0.12917914502439182,0.12347089252884932
0.0,2.5,0.12162900943746768,0.12568074881731672,0.11949620289696421
0.0,2.6,0.1177773393735379,0.12220164026467181,0.1155796095680672
0.0,2.7,0.11397838700074099,0.11875587312526331,0.11174208693651563
0.0,2.8000000000000003,0.11025602177124136,0.11535832176951435,0.10800195657739588
0.0,2.9000000000000004,0.10663170992263299,0.11202419033405489,0.10437590243564611
0.0,3.0,0.10312422886930207,0.10876840417863955,0.10087977971748446
0.0,3.1,0.09974993454520205,0.10560495594385767,0.09752883081481649
0.0,3.2,0.09652315933434216,0.10254629172080336,0.09433729647044428
0.0,3.3000000000000003,0.0934564248105084,0.09960281739358029,0.0913176692727089
0.0,3.4000000000000004,0.09056036356237908,0.0967825841352311,0.0884799224791715
0.0,3.5,0.08784343193539478,0.09409118176103601,0.08583098390588752
0.0,3.6,0.08531159752031625,0.09153183672814848,0.08337458604219793
0.0,3.7,0.08296818957013408,0.08910568462228358,0.08111149107545178
0.0,3.8000000000000003,0.08081402759243674,0.08681216905270425,0.07903999861242277
0.0,3.9000000000000004,0.07884783689905456,0.08464951093123557,0.07715659138154027
0.0,4.0,0.07706687198610165,0.08261519267978293,0.07545657384610019
0.025,0.0,0.18169756583969282,0.18173064294163677,0.1816799418229053
0.025,0.1,0.17878252609578305,0.1788217056630476,0.17876193682766672
0.025,0.2,0.17585154417438345,0.17590504668473855,0.17582465724209595
0.025,0.30000000000000004,0.1728988739457968,0.17297453581477318,0.17286149621655095
0.025,0.4,0.16991681675399728,0.17002241724473377,0.16986314280226777
0.025,0.5,0.166896119301892,0.16703991513405866,0.1668184471098808
0.025,0.6000000000000001,0.16382703987644923,0.1640183370669281,0.16371605563696645
0.025,0.7000000000000001,0.1607006527130925,0.1609502432215242,0.160546127761202
0.025,0.8,0.15750998969816746,0.15783034588758402,0.1573016093952609
0.025,0.9,0.15425079977364978,0.1546560067416226,0.153978780956117
0.025,1.0,0.1509218158172802,0.15142732517693072,0.1505770002997017
0.025,1.1,0.1475244921859384,0.14814686953346748,0.14709785665287098
0.025,1.2000000000000002,0.14406233253454614,0.14481916765818634,0.14354422636399677
0.025,1.3,0.14054010356539695,0.14145013220573055,0.13991971207174111
0.025,1.4000000000000001,0.13696325995581826,0.13804659221449841,0.13622868021922296
0.025,1.5,0.13333775775772447,0.13461602626442012,0.13247688982874908
0.025,1.6,0.12967026595339878,0.13116649613866505,0.12867264044853194
0.025,1.7000000000000002,0.12596873623127144,0.1277067219604305,0.124828214896336
0.025,1.8,0.12224328270039407,0.12424623227429427,0.12096102429961461
0.025,1.9000000000000001,0.11850718893902282,0.12079553355709614,0.11709363584518624
0.025,2.0,0.11477762329693832,0.11736624230220809,0.11325223129643139
0.025,2.1,0.111075553883578,0.11397111060563772,0.10946391073288528
0.025,2.2,0.10742461550414512,0.11062387693305761,0.10575395337104318
0.025,2.3000000000000003,0.10384918952855017,0.10733890484442332,0.10214410778045765
0.025,2.4000000000000004,0.1003723597329135,0.10413062869362204,0.0986522925737964
0.025,2.5,0.09701441815242046,0.10101288368018424,0.0952933254825318
0.025,2.6,0.09379224134949778,0.09799823323232615,0.09207995599522319
0.025,2.7,0.09071941806796822,0.09509740708265574,0.08902360511514286
0.025,2.8000000000000003,0.08780675913693467,0.09231893271678487,0.08613456477379806
0.025,2.9000000000000004,0.08506282999039139,0.08966899617727182,0.08342173253093448
0.025,3.0,0.08249430551995457,0.08715152223830774,0.08089213731553595
0.025,3.1,0.08010612087023886,0.08476843045608722,0.07855053546254112
0.025,3.2,0.07790150754319317,0.08252000685145279,0.07639926465355726
0.025,3.3000000000000003,0.07588204403664879,0.08040532907456331,0.0744384081819639
0.025,3.4000000000000004,0.07404782225465917,0.07842269085528428,0.07266621198416519
0.025,3.5,0.07239775977440197,0.0765699844255749,0.07107963387087492
0.025,3.6,0.07093001594152466,0.07484501400409149,0.0696748834336343
0.025,3.7,0.06964243295375104,0.07324572725161367,0.06844784482874232
0.025,3.8000000000000003,0.06853292023560269,0.07177036330199911,0.06739435785965615
0.025,3.9000000000000004,0.06759971077338643,0.07041752441191558,0.06651040735573031
0.025,4.0,0.06684144259539988,0.06918618310627175,0.06579228285024745
0.05,0.0,0.15799988030124382,0.15814368628962824,0.15792231476666813
0.05,0.1,0.15491181026406015,0.1550646150867347,0.15482870417485733
0.05,0.2,0.15177956313539667,0.15194947506075676,0.1516852910505402
0.05,0.30000000000000004,0.14859804231957469,0.14879375268772052,0.14848586012198964
0.05,0.4,0.14536365670729076,0.1455947717815311,0.1452260222659441
0.05,0.5,0.14207505973586626,0.14235228934420477,0.14190405801133724
0.05,0.6000000000000001,0.13873347713143555,0.13906865834187312,0.13852109195607068
0.05,0.7000000000000001,0.13534257071641215,0.13574859073535978,0.13508062787123382
0.05,0.8,0.1319078913233861,0.1323986281088382,0.13158771926766014
0.05,0.9,0.12843614115955948,0.12902651201286097,0.1280482219267373
0.05,1.0,0.12493455474412332,0.12564066301468427,0.12446849462549484
0.05,1.1,0.12141061640628692,0.12224989030029682,0.12085566017588387
0.05,1.2000000000000002,0.11787215026865788,0.11886332624016441,0.11721835461722266
0.05,1.3,0.11432772186114477,0.1154905051343882,0.11356781854902674
0.05,1.4000000000000001,0.11078730259177715,0.11214150663875122,0.10991902156401762
0.05,1.5,0.10726310867248795,0.10882710965992248,0.10629123666748734
0.05,1.6,0.10377034179303282,0.10555890045169343,0.10270743907336242
0.05,1.7000000000000002,0.10032738345308354,0.10234925667498125,0.09919238257508249
0.05,1.8,0.09695508145453391,0.09921113142445388,0.09576997647116507
0.05,1.9000000000000001,0.09367516855866595,0.09615761280821872,0.09246103368276808
0.05,2.0,0.09050831571225462,0.09320131649635867,0.08928221472772005
0.05,2.1,0.08747250698988862,0.09035373567747955,0.0862462806199817
0.05,2.2,0.08458221415601525,0.08762469010126255,0.08336314167633037
0.05,2.3000000000000003,0.0818484260599882,0.08502198022099602,0.0806410045369373
0.05,2.4000000000000004,0.07927924483066791,0.0825512873273257,0.07808712509702548
0.05,2.5,0.07688065837847051,0.08021629625269285,0.0757080150130203
0.05,2.6,0.07465719276423026,0.07801897495062629,0.07350922461518432
0.05,2.7,0.07261231136731236,0.07595993169270605,0.07149495825583783
0.05,2.8000000000000003,0.07074857252298289,0.07403878034974802,0.06966776961127205
0.05,2.9000000000000004,0.06906764700154447,0.07225446609623018,0.06802847937272313
0.05,3.0,0.0675703187904453,0.07060552743525139,0.06657633269356518
0.05,3.1,0.06625655347094388,0.06909028927295752,0.06530933028043673
0.05,3.2,0.06512565165119767,0.06770699360709154,0.0642246288711324
0.05,3.3000000000000003,0.06417645562652653,0.06645387969126192,0.06331890117334331
0.05,3.4000000000000004,0.06340756104382873,0.0653292261236448,0.06258858405404794
0.05,3.5,0.06281748196782083,0.06433136544748057,0.062030017916389894
0.05,3.6,0.06240471910044817,0.06345867948806534,0.061639535378809236
0.05,3.7,0.062167705982418435,0.06270958186089884,0.0614135541394676
0.05,3.8000000000000003,0.06210465983116062,0.06208249293858729,0.061348685880943755
0.05,3.9000000000000004,0.06221340849798787,0.06157581151141199,0.06144183513861778
0.05,4.0,0.06249126910663726,0.0611878858879577,0.06169025341524975
0.07500000000000001,0.0,0.13246825910182186,0.13281171775525155,0.13230377759899062
0.07500000000000001,0.1,0.12921248403089242,0.12956781700158707,0.12904220693300938
0.07500000000000001,0.2,0.12592586814981002,0.1263018229589557,0.1257431010926985
0.07500000000000001,0.30000000000000004,0.12261272832454401,0.12301898997590412,0.12241028722715763
0.07500000000000001,0.4,0.11927925970879898,0.11972649471114283,0.11904951074528453
0.07500000000000001,0.5,0.11593291340014542,0.11643278913223573,0.11566770454155585
0.07500000000000001,0.6000000000000001,0.11258172102238954,0.11314694526216103,0.11227236713369998
0.07500000000000001,0.7000000000000001,0.10923382703796963,0.10987819372385828,0.10887134766405299
