stage_grouped,ensemble,arm,family,strength_grouped,quantile_grouped,converged_grouped,objective_grouped,mse_grouped,objective_gap_grouped,steps_grouped,open_grouped,closed_grouped,intermediate_grouped,recovery_grouped,tv_grouped,ess_fraction_grouped,open_conditional_ess_grouped,closed_conditional_ess_grouped,intermediate_conditional_ess_grouped,initial_population_tv_grouped,stage_rate,strength_rate,quantile_rate,converged_rate,objective_rate,mse_rate,objective_gap_rate,steps_rate,open_rate,closed_rate,intermediate_rate,recovery_rate,tv_rate,ess_fraction_rate,open_conditional_ess_rate,closed_conditional_ess_rate,intermediate_conditional_ess_rate,initial_population_tv_rate,valid_pair,delta_recovery,delta_tv,delta_mse,delta_ess_fraction
uptake,ISO_BI,0,unregularised,0.0,,True,0.018102913403254196,0.0027502978162035744,5.1500109516150765e-05,1000,0.3929209005913039,0.607079099408696,0.0,99.38543231677825,0.007079099408696055,0.011442011307666328,2.2739786258254844,11.47972470461001,,3.4320166818757603e-06,rate,0.0,,True,0.04307259609174677,0.006543834372430619,3.945452370902821e-07,1000,0.11929165807175994,0.88070834192824,0.0,72.23752649680782,0.28070834192824,0.02037501873094377,4.393001142983566,14.658107233047733,,1.4982497477250556e-06,True,-27.147905819970433,0.27362924251954396,0.003793536556227044,0.00893300742327744
uptake,ISO_BI,1,maxent,1e-05,,True,0.01806780475047352,0.002734229936385127,8.857763014215472e-06,1000,0.39251215578148196,0.6074878442185179,0.0,99.34988943416907,0.007487844218517975,0.010804067002288616,2.0439814971132932,12.089428579018492,,1.9616337459421596e-05,rate,1e-05,,True,0.04313604710099816,0.006543423183159596,2.8304378812575887e-05,1000,0.11880383031716162,0.8811961696828383,0.0,72.17719279323,0.28119616968283834,0.02033274953326519,4.415253430485596,14.630286632990275,,9.755032511605394e-05,True,-27.172696640939066,0.27370832546432033,0.0038091932467744687,0.009528682530976574
uptake,ISO_BI,2,maxent,0.0001,,True,0.01760225167229179,0.002599651907876175,5.7780686074305845e-08,3000,0.3717807619982602,0.6282192380017397,0.0,97.53810383484148,0.028219238001739783,0.007868374879849217,1.12455559377259,17.539256630811437,,2.2542435966277363e-05,rate,0.0001,,True,0.04358925932561199,0.006544846961984674,3.6317421364104326e-06,1000,0.1179876457273649,0.882012354272635,0.0,72.07606181387767,0.28201235427263505,0.020069018904863033,4.38921646966292,14.44925941344593,,6.974225695531577e-06,True,-25.462042020963807,0.2537931162708953,0.003945195054108499,0.012200644025013816
uptake,ISO_BI,3,maxent,0.001,,True,0.020236599081790037,0.002659859634172752,0.0001763712833416868,1000,0.36589158204541056,0.6341084179545893,0.0,97.01991637378367,0.03410841795458938,0.007831855152966359,1.1305168212339485,14.531536313860277,,0.0005097913415850197,rate,0.001,,True,0.046878792418409136,0.006669220362675377,3.697581219746095e-09,1000,0.115809536774568,0.8841904632254319,0.0,71.80501998698567,0.28419046322543196,0.01916288702139234,4.580134934356229,13.769032968437893,,1.1853054663474305e-07,True,-25.214896386798003,0.25008204527084255,0.0040093607285026246,0.01133103186842598
uptake,ISO_BI,4,maxent,0.01,,True,0.03387162172850959,0.003635224745966701,2.215695592164043e-10,1000,0.3599058174685249,0.6400941825314752,0.0,96.49148513107008,0.040094182531475175,0.008849191186256366,1.1067904723891047,33.41412603789722,,3.026643644044036e-08,rate,0.01,,True,0.062330912277645166,0.007682841550143414,2.226469547886225e-16,1000,0.10566967439846177,0.8943303256015382,0.0,70.5198715087755,0.29433032560153827,0.020154264008172343,6.352579131068005,14.538964748117959,,1.457167719820518e-16,True,-25.971613622294583,0.2542361430700631,0.004047616804176713,0.011305072821915977
uptake,ISO_BI,5,maxent,0.1,,True,0.07007252895476317,0.006993562876408674,2.759852324596845e-09,1000,0.25417498469627686,0.7458250153037231,0.0,86.75862139257883,0.14582501530372316,0.026237980371939213,1.505192516142122,811.0710680560435,,2.9627294428347106e-06,rate,0.1,,True,0.08617411237899243,0.012532219856756512,3.2208716573209733e-16,1000,0.06545399170977594,0.9345460082902239,0.0,64.94332967519935,0.334546008290224,0.9287801609716362,40.808334392972014,775.0141942598353,,6.245004513516506e-17,True,-21.81529171737948,0.18872099298650086,0.005538656980347838,0.9025421805996969
uptake,ISO_BI,6,maxent,1.0,,True,0.08611299479791325,0.012924710961171582,8.057894073003923e-16,1000,0.05886060211320235,0.9411393978867977,0.0,63.93215358610706,0.3411393978867977,0.9977885885576252,43.968214088558,829.4227228581989,,1.8735013540549517e-16,rate,1.0,,True,0.08966129633307424,0.013557952718363422,7.119886341906259e-15,1000,0.052077235340041765,0.9479227646599582,0.0,62.853244914039294,0.3479227646599582,0.9991711201735699,43.97876490626174,829.3507959191634,,1.5672220465834386e-12,True,-1.0789086720677687,0.006783366773160493,0.0006332417571918401,0.0013825316159447043
uptake,ISO_BI,7,scalar_logpf,0.1,0.02,True,0.023162631302285932,0.003486555557220627,5.071541281172789e-05,3000,0.3817963196680844,0.6182036803319155,0.0,98.4156912510641,0.018203680331915578,0.012179599663798219,1.9233877714382284,21.05217007796968,,0.00017833805437833528,rate,0.1,0.02,True,0.048688768645060755,0.0073694452333599916,0.00012691941235616703,1000,0.10005741251106956,0.8999425874889305,0.0,69.79080568177551,0.2999425874889305,0.06419302734688116,11.70469535863999,47.72948308887881,,0.002585735800307215,True,-28.624885569288594,0.2817389071570149,0.0038828896761393646,0.052013427683082945
uptake,ISO_BI,8,scalar_logpf,0.1,0.04,True,0.025573021917028982,0.003881195249561271,6.67580997627696e-06,3000,0.38077878419237987,0.6192212158076199,0.0,98.32673489466443,0.01922121580762004,0.016622814994461835,2.4120839146236075,43.9713463050718,,0.00021145156512811236,rate,0.1,0.04,True,0.054208603616698006,0.008187089334766334,3.424017232682833e-07,1000,0.09311119171928073,0.9068888082807194,0.0,68.86919541193622,0.30688880828071935,0.16581151085972656,17.50154735349021,128.40653809361064,,5.659239056612919e-07,True,-29.457539482728208,0.2876675924730993,0.004305894085205063,0.14918869586526473
uptake,ISO_BI,9,scalar_logpf,0.1,0.08,True,0.04085685199573711,0.006056214817605451,5.90962528521671e-07,1000,0.3267949936485701,0.6732050063514299,0.0,93.53250694463509,0.0732050063514299,0.2065873483154113,39.01759678976685,161.7832766510012,,4.029921498310829e-06,rate,0.1,0.08,True,0.05999907795002905,0.008992524901416289,0.0024751763873725697,1000,0.0914570022965197,0.9085429977034805,0.0,68.64637961709556,0.30854299770348037,0.27387533123583363,18.406265334002818,221.70137496887997,,0.00020516374928803566,True,-24.886127327539526,0.23533799135205047,0.0029363100838108377,0.06728798292042232
uptake,ISO_BI,10,scalar_logpf,0.1,0.16,True,0.051191104077421876,0.007381721066389856,5.255822776532079e-08,1000,0.21650273879948703,0.783497261200513,0.0,83.02815637744216,0.18349726120051302,0.33725635536244886,33.56387291045042,307.5455920653968,,8.833344477376937e-06,rate,0.1,0.16,True,0.0656089760542002,0.009821815843790688,3.208214089038261e-07,1000,0.08019693137509415,0.9198030686249058,0.0,67.09219945571002,0.3198030686249058,0.41070778659563617,21.654741525525747,339.93357017586965,,1.739815738553696e-06,True,-15.935956921732142,0.1363058074243928,0.0024400947774008315,0.07345143123318731
uptake,ISO_BI,11,scalar_logpf,0.1,0.32,True,0.062162907465080186,0.009125781774525712,0.001069541246302704,1000,0.12244636759013441,0.8775536324098657,0.0,72.62571321203085,0.2775536324098657,0.562669080273409,40.97645222474033,461.81169151680564,,0.00010165155311350066,rate,0.1,0.32,True,0.07147627608451174,0.010707775358851715,0.0011032198693389495,1000,0.07142492922019571,0.9285750707798042,0.0,65.83092962125954,0.32857507077980425,0.6141801678346896,36.984582807542594,499.8625640095471,,0.00014539511227359275,True,-6.794783590771303,0.051021438369938554,0.0015819935843260028,0.051511087561280644
uptake,ISO_BI,12,scalar_logpf,0.1,0.64,True,0.0704754435752412,0.01041788902536722,0.0005472116123317352,1000,0.08880156904758682,0.9111984309524133,0.0,68.2858701098806,0.31119843095241323,0.7439595363937966,43.889574657607184,611.2805124407108,,7.42240196338409e-05,rate,0.1,0.64,True,0.07660938567490774,0.011503561890851726,0.0005729748307300516,1000,0.0656178230856683,0.9343821769143318,0.0,64.96802537263244,0.33438217691433175,0.7633828804375193,41.66647065046261,625.6453135200634,,5.762160159369922e-05,True,-3.3178447372481656,0.023183745961918523,0.0010856728654845063,0.0194233440437227
uptake,ISO_BI,13,profile_logpf,0.1,0.02,True,0.038835085961652395,0.005702356556569876,2.7361243883454607e-07,1000,0.28181099218745853,0.7181890078125415,0.0,89.39154893018933,0.11818900781254149,0.21452431348856146,42.771403979910374,148.35739381258816,,2.0588065446913717e-08,rate,0.1,0.02,True,0.05750792454370893,0.008640109366660653,2.3689260426311905e-08,1000,0.09855303526314356,0.9014469647368564,0.0,69.59307075944938,0.3014469647368564,0.2673942684908909,21.613829697049795,212.19274645099242,,1.5167733527499117e-09,True,-19.798478170739955,0.1832579569243149,0.0029377528100907775,0.05286995500232941
uptake,ISO_BI,14,profile_logpf,0.1,0.04,True,0.04464185209844954,0.006478132695710515,2.3824025376122508e-07,1000,0.2314197157855259,0.7685802842144742,0.0,84.527238073088,0.16858028421447419,0.289650149249733,43.840106251028004,216.49348524661684,,5.74513200207738e-08,rate,0.1,0.04,True,0.06095570981843221,0.009146767734584721,3.652133588616286e-08,1000,0.09322198606580953,0.9067780139341904,0.0,68.88407182516725,0.30677801393419046,0.3481694313665237,25.583796383086256,279.05408089258793,,1.099642293889147e-09,True,-15.643166247920746,0.13819772971971628,0.002668635038874206,0.058519282116790694
uptake,ISO_BI,15,profile_logpf,0.1,0.08,True,0.05044667574778058,0.007324532529947656,1.479306965621434e-07,1000,0.18523856043836706,0.8147614395616329,0.0,79.77539100579536,0.21476143956163296,0.37388267576219225,43.8952638259192,291.3459845391079,,4.502513910320527e-08,rate,0.1,0.08,True,0.0649742209533531,0.00974286417081199,2.9760806631576067e-08,1000,0.0866520219530852,0.9133479780469149,0.0,67.99140998805694,0.3133479780469149,0.45081243864311804,30.50671364404591,363.9830116129167,,2.0910048560696115e-08,True,-11.783981017738412,0.09858653848528193,0.002418331640864334,0.07692976288092579
uptake,ISO_BI,16,profile_logpf,0.1,0.16,True,0.0583405344145475,0.008481070993576886,5.557590984378882e-08,1000,0.14216568244245625,0.8578343175575438,0.0,74.9804914476078,0.2578343175575438,0.5108128471198969,43.91383379251181,413.497742427416,,5.1110596485381965e-06,rate,0.1,0.16,True,0.06910034108719176,0.010368434815886136,0.0009915106626653227,1000,0.08014350180967016,0.9198564981903296,0.0,67.08465888945548,0.3198564981903297,0.5651661517049726,36.30429769049582,457.97623064792634,,0.00011557828934458114,True,-7.895832558152321,0.06202218063278586,0.0018873638223092497,0.0543533045850757
uptake,ISO_BI,17,profile_logpf,0.1,0.32,True,0.06484587686578212,0.009495636148261655,0.0006305108263748778,1000,0.11262646153295594,0.8873735384670439,0.0,71.40581669985363,0.287373538467044,0.6392377286956225,43.9300856824464,524.5553843386825,,7.01060240857615e-05,rate,0.1,0.32,True,0.07343939039917236,0.01102554284970018,5.632113821537435e-08,1000,0.0722224198303243,0.9277775801696756,0.0,65.94761557099724,0.3277775801696757,0.6857572654782209,39.498612299982895,560.2477451604249,,1.6116673122526515e-06,True,-5.458201128856388,0.04040404170263168,0.0015299067014385246,0.04651953678259846
uptake,ISO_BI,18,profile_logpf,0.1,0.64,True,0.0706724821632608,0.010409308300361674,6.0194073709716896e-09,1000,0.09252107012984784,0.9074789298701523,0.0,68.78985982125515,0.30747892987015224,0.7582282243022638,43.94331515633979,626.6315798170739,,1.2726443246527386e-06,rate,0.1,0.64,True,0.07733111742762021,0.011616540955347698,0.000543386035017828,1000,0.06662532522184658,0.9333746747781534,0.0,65.1194586524171,0.3333746747781534,0.7840595247371286,41.71471340862794,643.955023380045,,4.475696068287349e-05,True,-3.6704011688380547,0.025895744908001173,0.0012072326549860245,0.025831300434864812
uptake,ISO_TRI,0,unregularised,0.0,,True,0.011268437802116029,0.0017119653167878741,0.0007643276638382892,3000,0.32230855032889744,0.45014340210220216,0.22754804756890046,64.71074953616778,0.22754804756890043,0.004021522986749616,2.7862477855228778,8.332556736050801,1.0323345794002108,0.0011420024733717754,rate,0.0,,True,0.0389313560258349,0.005914673570744148,2.341097834878554e-08,1000,0.10705861451007553,0.34245158901057654,0.550489796479348,39.50638164856349,0.550489796479348,0.004686715200356485,3.633669049833728,12.456244730121545,3.6367385038259448,2.8728163494265435e-06,True,-25.204367887604292,0.3229417489104476,0.004202708253956274,0.0006651922136068694
uptake,ISO_TRI,1,maxent,1e-05,,True,0.01122460358262746,0.0016925770498830044,6.813170458516581e-05,3000,0.321028686490275,0.45107689248308114,0.22789442102664376,64.68582387551022,0.2278944210266438,0.003959296644804869,2.5820363423793,8.832541065105351,1.0271271739168768,8.711197188106257e-05,rate,1e-05,,True,0.03900802326565355,0.005915306265219527,1.1763244255334728e-06,1000,0.10699807107589172,0.3421340135672698,0.5508679153568387,39.48159799410589,0.5508679153568385,0.004694503882982455,3.638633480152263,12.546035003164244,3.6446460516297754,9.614346596076295e-06,True,-25.204225881404334,0.32297349433019473,0.004222729215336523,0.000735207238177586
uptake,ISO_TRI,2,maxent,0.0001,,True,0.011478910482566052,0.0016561489168288178,2.6005476249556257e-07,3000,0.31638041304525333,0.4531368388642525,0.2304827480904942,64.4780791599664,0.23048274809049418,0.0037182662126401724,2.128304092350678,9.17731126801508,1.0321435354168846,2.950042271630815e-05,rate,0.0001,,True,0.03948478397188421,0.005912711030247883,1.6834813288717742e-06,1000,0.10516236067519003,0.3284668938168631,0.5663707455079467,38.48326662999322,0.5663707455079467,0.0046173203563311515,4.0884455634736,12.619740599296009,3.726349020637031,1.2894880064201475e-05,True,-25.99481252997318,0.33588799741745257,0.004256562113419066,0.0008990541436909791
uptake,ISO_TRI,3,maxent,0.001,,True,0.015413161889648825,0.0017770483803174596,5.174457959068984e-07,1000,0.31099501573267785,0.4470582163717646,0.2419467678955574,63.51865089903408,0.24194676789555747,0.0036493748381218835,2.0271551104036916,9.32335175911195,1.0838991569504588,3.5168114635580894e-06,rate,0.001,,True,0.043039944595827904,0.006021202026860464,7.477389748502096e-09,1000,0.10196279691611214,0.32465139763738426,0.5733858054465035,37.95554798444931,0.5733858054465035,0.004407122816966548,4.215389386060766,12.989621083578143,3.5970756430646964,8.243198811846986e-06,True,-25.563102914584768,0.33143903755094606,0.0042441536465430045,0.0007577479788446642
