family,quantile,sigma,raw_coupling,factor,coupling,cross_state_fraction,ensemble
scalar_logpf,0.02,0.003571428571438773,0.024499593603606824,1.0,0.024499593603606824,0.1016932491559913,ISO_BI
scalar_logpf,0.04,0.00731292517006743,0.05023433678187189,1.0,0.05023433678187189,0.10115848155748558,ISO_BI
scalar_logpf,0.08,0.014625850340133084,0.10035797685428456,1.0,0.10035797685428456,0.10087875157010394,ISO_BI
scalar_logpf,0.16,0.029251700680267945,0.19811364760150696,1.0,0.19811364760150696,0.10055496644935182,ISO_BI
scalar_logpf,0.32,0.05969387755101607,0.3821586413393223,1.0,0.3821586413393223,0.0998343791956223,ISO_BI
scalar_logpf,0.64,0.1318027210884285,0.6766918410326267,1.0,0.6766918410326267,0.09827694659847012,ISO_BI
profile_logpf,0.02,1.312265528133134,0.4992434587651602,0.04907343936804833,0.024499593603606835,0.06624418094551042,ISO_BI
profile_logpf,0.04,1.3424803169359862,0.5147167641261085,0.09759607668337805,0.05023433678187184,0.06735299538239999,ISO_BI
profile_logpf,0.08,1.3783863680375823,0.5323766730501298,0.18850934297948593,0.10035797685428464,0.06859718498532277,ISO_BI
profile_logpf,0.16,1.421222167354419,0.5524418814514331,0.3586144610922728,0.19811364760150688,0.06998453266008059,ISO_BI
profile_logpf,0.32,1.4762807192078207,0.5766977262820133,0.6626671545995334,0.3821586413393225,0.07162621049555415,ISO_BI
profile_logpf,0.64,1.5656875649440427,0.6126523547969963,1.1045282626177941,0.6766918410326271,0.07399291007488816,ISO_BI
scalar_logpf,0.02,0.004081632653054612,0.025502925680163425,1.0,0.025502925680163425,0.5000525628721929,ISO_TRI
scalar_logpf,0.04,0.00799319727891401,0.04996947902604264,1.0,0.04996947902604264,0.5005367206799147,ISO_TRI
scalar_logpf,0.08,0.015986394557831574,0.09967472324748085,1.0,0.09967472324748085,0.5008860488022374,ISO_TRI
scalar_logpf,0.16,0.03214285714286369,0.1976127967405299,1.0,0.1976127967405299,0.5005114842622608,ISO_TRI
scalar_logpf,0.32,0.06564625850341521,0.3812224143723927,1.0,0.3812224143723927,0.49947599982083296,ISO_TRI
scalar_logpf,0.64,0.1454081632653086,0.6759349385594255,1.0,0.6759349385594255,0.49698935014578005,ISO_TRI
profile_logpf,0.02,1.3661947501136493,0.4641520924907849,0.05494519165755943,0.02550292568016343,0.47906769747844047,ISO_TRI
profile_logpf,0.04,1.4052077581402027,0.4837710461445047,0.1032915868452295,0.0499694790260426,0.4797921542363157,ISO_TRI
profile_logpf,0.08,1.4521330779892299,0.5063041263470129,0.19686729390620322,0.09967472324748082,0.4805854196853613,ISO_TRI
profile_logpf,0.16,1.5124258569560074,0.5335937238218558,0.37034318043535386,0.1976127967405295,0.4814956884814315,ISO_TRI
profile_logpf,0.32,1.601075000261089,0.5704841353565149,0.6682436736547527,0.3812224143723931,0.4826478132557827,ISO_TRI
profile_logpf,0.64,1.774014050209336,0.6324509166061709,1.0687547773455632,0.6759349385594255,0.48440927365277436,ISO_TRI
