temperature_k,ph,n_compared,mean_ln_ratio_to_moprp_kint,sd_ln_ratio_to_moprp_kint,rms_ln_ratio_to_moprp_kint,max_abs_ln_ratio_to_moprp_kint
278.0,2.5,97,-2.6012016686966604,0.8324120226627407,2.7311462605843295,3.7249735454317046
278.0,4.0,97,-1.6572301651559567,0.432497751024429,1.7127364435148884,1.9213504411865925
278.0,4.4,97,-0.8666579853554504,0.4105672413910139,0.9589898452453992,1.492378983151376
278.0,6.5,97,3.668181825321982,0.47448943332315424,3.6987427763981953,4.3857419129596575
278.0,7.0,97,4.80172728014848,0.48244003990825973,4.825902326511468,5.49466048130146
278.0,7.4,97,5.7044002909341,0.49555106287331224,5.725884519890696,6.403292639725396
288.0,2.5,97,-1.5809095675307014,0.7894887527428056,1.7670788186771693,3.3721010190311667
288.0,4.0,97,-0.5792070756520047,0.42845918928702004,0.7204568782167586,0.9347858580181975
288.0,4.4,97,0.20342626164229777,0.41111982680353165,0.45869571168338436,1.6692038539919536
288.0,6.5,97,4.733044221869718,0.4755773338987538,4.756877274714217,5.45048211642528
288.0,7.0,97,5.862812190620865,0.48694588012254963,5.882999496231574,6.561940131968466
288.0,7.4,97,6.761822157739243,0.5080199983080793,6.780879235878953,7.471353228449424
293.0,2.5,97,-1.0907574586071127,0.7697210696925364,1.3349990107246033,3.789657857710731
293.0,4.0,97,-0.06709624184193971,0.4267839536053824,0.43202598153855665,1.446716980967688
293.0,4.4,97,0.7113652160021959,0.4114601916546201,0.8217907031929161,2.1743411910226915
293.0,6.5,97,5.237753041498087,0.4763516870501641,5.259369530036657,5.955681876744392
293.0,7.0,97,6.365468599716727,0.4902411739418545,6.384318828395674,7.068291299915109
293.0,7.4,97,7.263027158600682,0.5157131364062202,7.281313311871221,7.9780568673767
298.0,2.5,97,-0.61327273996985,0.7511031453274744,0.9696697316668972,4.193213272970541
298.0,4.0,97,0.4282686410365124,0.42531388108699597,0.6035776058971576,1.9418170794852574
298.0,4.4,97,1.2024463778784367,0.41182654696721205,1.2710147113467687,2.6626106865782786
298.0,6.5,97,5.72518472289177,0.47735062851185495,5.7450503682538745,6.443978481173128
298.0,7.0,97,6.850828379949499,0.49432729413703597,6.868639527974251,7.557668948918212
298.0,7.4,97,7.747274880718352,0.5241497399497274,7.764985578048353,8.467764539958699
310.0,2.5,97,0.48359378869487457,0.7110356270680851,0.8599038408010329,5.108680313694518
310.0,4.0,97,1.5536089755370022,0.4225239653219054,1.6100395492473103,3.0662349657306454
310.0,4.4,97,2.317133280049238,0.4127567318794054,2.353608879407007,3.770542437210505
310.0,6.5,97,6.829441098471599,0.48103805871628236,6.84636132054294,7.551800236900157
310.0,7.0,97,7.950476432955916,0.5073988576607444,7.96665105999647,8.6678305030885
310.0,7.4,97,8.845787412820698,0.5460106301763961,8.86262278115698,9.578637409682365
