ensemble,family,arm,component,population,uniform_population,true_population_diagnostic
ISO_BI,unregularised,0,0,0.607079099408696,0.9496567505720824,0.6000000000000002
ISO_BI,unregularised,0,1,0.3929209005913039,0.05034324942791762,0.4000000000000001
ISO_BI,maxent,1,0,0.6074878442185179,0.9496567505720824,0.6000000000000002
ISO_BI,maxent,1,1,0.39251215578148196,0.05034324942791762,0.4000000000000001
ISO_BI,maxent,2,0,0.6282192380017397,0.9496567505720824,0.6000000000000002
ISO_BI,maxent,2,1,0.3717807619982602,0.05034324942791762,0.4000000000000001
ISO_BI,maxent,3,0,0.6341084179545893,0.9496567505720824,0.6000000000000002
ISO_BI,maxent,3,1,0.36589158204541056,0.05034324942791762,0.4000000000000001
ISO_BI,maxent,4,0,0.6400941825314752,0.9496567505720824,0.6000000000000002
ISO_BI,maxent,4,1,0.3599058174685249,0.05034324942791762,0.4000000000000001
ISO_BI,maxent,5,0,0.7458250153037231,0.9496567505720824,0.6000000000000002
ISO_BI,maxent,5,1,0.25417498469627686,0.05034324942791762,0.4000000000000001
ISO_BI,maxent,6,0,0.9411393978867977,0.9496567505720824,0.6000000000000002
ISO_BI,maxent,6,1,0.05886060211320235,0.05034324942791762,0.4000000000000001
ISO_BI,scalar_logpf,7,0,0.6182036803319155,0.9496567505720824,0.6000000000000002
ISO_BI,scalar_logpf,7,1,0.3817963196680844,0.05034324942791762,0.4000000000000001
ISO_BI,scalar_logpf,8,0,0.6192212158076199,0.9496567505720824,0.6000000000000002
ISO_BI,scalar_logpf,8,1,0.38077878419237987,0.05034324942791762,0.4000000000000001
ISO_BI,scalar_logpf,9,0,0.6732050063514299,0.9496567505720824,0.6000000000000002
ISO_BI,scalar_logpf,9,1,0.3267949936485701,0.05034324942791762,0.4000000000000001
ISO_BI,scalar_logpf,10,0,0.783497261200513,0.9496567505720824,0.6000000000000002
ISO_BI,scalar_logpf,10,1,0.21650273879948703,0.05034324942791762,0.4000000000000001
ISO_BI,scalar_logpf,11,0,0.8775536324098657,0.9496567505720824,0.6000000000000002
ISO_BI,scalar_logpf,11,1,0.12244636759013441,0.05034324942791762,0.4000000000000001
