multiplier,ensemble,stage,family,strength,converged,mse,objective,objective_gap,steps,initial_population_tv,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,arm,quantile,sigma,factor,coupling,cross_state_coupling_fraction,delta_mse,delta_recovery,delta_tv,delta_ess_fraction,delta_intermediate
0.25,ISO_TRI,uptake,hybrid_logpf,0.1,True,0.00200575987738289,0.013219864934995103,0.00016975503260918977,1000,0.00013490366173185553,0.3401996004551723,0.41714217199905446,0.24265822754577301,63.25835867866461,0.24265822754577315,0.00390555294291447,2.323458152545632,9.094012786417247,1.276442838984404,,,0.0010204081632636,213.5408447469569,0.0255029256801634,0.1474691831292231,-2.5060345855486103e-06,3.067444739976132,-0.03232386889591227,0.0005047428395377174,-0.032323868895912516
0.5,ISO_TRI,uptake,hybrid_logpf,0.1,False,0.0018810789738410985,0.012384830424884937,0.0229525266252097,3000,0.013890196579163835,0.33908012370345797,0.4145134119455308,0.24640646435101113,62.94368951936524,0.24640646435101116,0.0036427461275019843,2.1803507554270167,12.625931182216426,1.0644886729549679,,,0.0020408163265273,105.69050170008173,0.0255029256801634,0.162118205678436,,,,,
0.75,ISO_TRI,uptake,hybrid_logpf,0.1,True,0.001973487886806029,0.012992657349016284,0.009356481165801477,3000,0.0010043455384640132,0.3595010083559984,0.36329644606557054,0.2772025455784311,59.92820072324652,0.27720254557843105,0.0035077335965802447,5.77395988353127,3.8703902183027195,1.0725524744980168,,,0.0030612244897909,71.45018409969583,0.0255029256801634,0.1666665415862576,-3.477802516240955e-05,-0.2627132154419556,0.002220449136745628,0.00010692349320349202,0.0022204491367455725
1.0,ISO_TRI,uptake,hybrid_logpf,0.1,True,0.0020082659119684387,0.013221565284131195,0.003755984913337011,3000,0.0030846311764433643,0.3560684756171571,0.3689494279411576,0.27498209644168553,60.190913938688475,0.2749820964416854,0.0034008101033767527,5.91236069761346,3.583418520591623,1.0397394042208383,19.0,0.02,0.0040816326530546,54.13237892198903,0.0255029256801634,0.1693947532438997,0.0,0.0,0.0,0.0,0.0
