# Iteration, weighted MSE to target, weighted RMSE to target, Total lambdas, Fractional change in lambda, Curr. stepsize, Beta_C, Beta_H, Curr. work 
  1000 0.055055 0.234638 7.85090442e+00 8.05211144e-04 3.35213915e-04 3.50000000e-01 2.00000000e+00  9.59357 
  2000 0.052469 0.229061 1.31594639e+01 3.42981931e-04 3.38068475e-04 3.50000000e-01 2.00000000e+00 11.22870 
  3000 0.052188 0.228447 1.71131341e+01 1.95009388e-04 3.37093863e-04 3.50000000e-01 2.00000000e+00 11.53080 
  4000 0.052127 0.228313 1.99471508e+01 1.19541546e-04 3.36946343e-04 3.50000000e-01 2.00000000e+00 11.61487 
  5000 0.052106 0.228267 2.19715137e+01 7.75120569e-05 3.36906506e-04 3.50000000e-01 2.00000000e+00 11.64633 
  6000 0.052096 0.228246 2.34174206e+01 5.19492967e-05 3.36874021e-04 3.50000000e-01 2.00000000e+00 11.66107 
  7000 0.052091 0.228235 2.44503384e+01 3.55463546e-05 3.36846123e-04 3.50000000e-01 2.00000000e+00 11.66915 
  8000 0.052088 0.228228 2.51883253e+01 2.46536794e-05 3.36824838e-04 3.50000000e-01 2.00000000e+00 11.67404 
  9000 0.052086 0.228224 2.57156239e+01 1.72542153e-05 3.36809867e-04 3.50000000e-01 2.00000000e+00 11.67719 
 10000 0.052085 0.228222 2.60923838e+01 1.21501141e-05 3.36799839e-04 3.50000000e-01 2.00000000e+00 11.67928 
 11000 0.052084 0.228220 2.63615730e+01 8.59220632e-06 3.36793315e-04 3.50000000e-01 2.00000000e+00 11.68071 
 12000 0.052084 0.228219 2.65538947e+01 6.09404203e-06 3.36789137e-04 3.50000000e-01 2.00000000e+00 11.68170 
 13000 0.052083 0.228218 2.66912907e+01 4.33108764e-06 3.36786484e-04 3.50000000e-01 2.00000000e+00 11.68239 
 14000 0.052083 0.228217 2.67894419e+01 3.08256682e-06 3.36784802e-04 3.50000000e-01 2.00000000e+00 11.68288 
 15000 0.052083 0.228217 2.68595544e+01 2.19617140e-06 3.36783733e-04 3.50000000e-01 2.00000000e+00 11.68323 
 16000 0.052083 0.228216 2.69096357e+01 1.56577069e-06 3.36783050e-04 3.50000000e-01 2.00000000e+00 11.68347 
 17000 0.052083 0.228216 2.69454074e+01 1.11688130e-06 3.36782611e-04 3.50000000e-01 2.00000000e+00 11.68364 
 18000 0.052083 0.228216 2.69709573e+01 7.96963835e-07 3.36782325e-04 3.50000000e-01 2.00000000e+00 11.68377 
 19000 0.052083 0.228216 2.69892058e+01 5.68823745e-07 3.36782137e-04 3.50000000e-01 2.00000000e+00 11.68386 
 20000 0.052083 0.228216 2.70022391e+01 4.06062092e-07 3.36782013e-04 3.50000000e-01 2.00000000e+00 11.68392 
 21000 0.052082 0.228216 2.70115475e+01 2.89908084e-07 3.36781930e-04 3.50000000e-01 2.00000000e+00 11.68396 
 22000 0.052082 0.228216 2.70181955e+01 2.06997688e-07 3.36781874e-04 3.50000000e-01 2.00000000e+00 11.68399 
 23000 0.052082 0.228216 2.70229434e+01 1.47807605e-07 3.36781835e-04 3.50000000e-01 2.00000000e+00 11.68402 
 24000 0.052082 0.228216 2.70263343e+01 1.05547100e-07 3.36781809e-04 3.50000000e-01 2.00000000e+00 11.68403 
 25000 0.052082 0.228216 2.70287559e+01 7.53717379e-08 3.36781791e-04 3.50000000e-01 2.00000000e+00 11.68405 
 26000 0.052082 0.228216 2.70304854e+01 5.38244438e-08 3.36781778e-04 3.50000000e-01 2.00000000e+00 11.68405 
 27000 0.052082 0.228216 2.70317205e+01 3.84376319e-08 3.36781769e-04 3.50000000e-01 2.00000000e+00 11.68406 
 28000 0.052082 0.228216 2.70326026e+01 2.74497145e-08 3.36781763e-04 3.50000000e-01 2.00000000e+00 11.68406 
 29000 0.052082 0.228216 2.70332325e+01 1.96029679e-08 3.36781759e-04 3.50000000e-01 2.00000000e+00 11.68407 
 30000 0.052082 0.228216 2.70336824e+01 1.39993431e-08 3.36781755e-04 3.50000000e-01 2.00000000e+00 11.68407 
 31000 0.052082 0.228216 2.70340037e+01 9.99757543e-09 3.36781753e-04 3.50000000e-01 2.00000000e+00 11.68407 
 32000 0.052082 0.228216 2.70342331e+01 7.13974080e-09 3.36781752e-04 3.50000000e-01 2.00000000e+00 11.68407 
 33000 0.052082 0.228216 2.70343970e+01 5.09883121e-09 3.36781751e-04 3.50000000e-01 2.00000000e+00 11.68407 
 34000 0.052082 0.228216 2.70345140e+01 3.64132115e-09 3.36781750e-04 3.50000000e-01 2.00000000e+00 11.68407 
 35000 0.052082 0.228216 2.70345975e+01 2.60044351e-09 3.36781749e-04 3.50000000e-01 2.00000000e+00 11.68407 
 36000 0.052082 0.228216 2.70346572e+01 1.85710248e-09 3.36781749e-04 3.50000000e-01 2.00000000e+00 11.68407 
 37000 0.052082 0.228216 2.70346999e+01 1.32624596e-09 3.36781749e-04 3.50000000e-01 2.00000000e+00 11.68407 
 38000 0.052082 0.228216 2.70347303e+01 9.47135714e-10 3.36781748e-04 3.50000000e-01 2.00000000e+00 11.68407 
 39000 0.052082 0.228216 2.70347520e+01 6.76394529e-10 3.36781748e-04 3.50000000e-01 2.00000000e+00 11.68407 
 40000 0.052082 0.228216 2.70347675e+01 4.83045219e-10 3.36781748e-04 3.50000000e-01 2.00000000e+00 11.68407 
 41000 0.052082 0.228216 2.70347786e+01 3.44965212e-10 3.36781748e-04 3.50000000e-01 2.00000000e+00 11.68407 
 42000 0.052082 0.228216 2.70347866e+01 2.46355666e-10 3.36781748e-04 3.50000000e-01 2.00000000e+00 11.68407 
 43000 0.052082 0.228216 2.70347922e+01 1.75934073e-10 3.36781748e-04 3.50000000e-01 2.00000000e+00 11.68407 
 44000 0.052082 0.228216 2.70347962e+01 1.25642564e-10 3.36781748e-04 3.50000000e-01 2.00000000e+00 11.68407 
