value,term,type,level
1.5983483382905845e-05,loss_metric[C(loss)[MSE]:C(metric)[work_magnitude]],other,loss_metric[C(loss)[MSE]:C(metric)[work_magnitude]]
-5.201884033149367e-06,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_magnitude]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_magnitude]]
-1.0781599349756867e-05,loss_metric[C(loss)[mcMSE]:C(metric)[work_magnitude]],other,loss_metric[C(loss)[mcMSE]:C(metric)[work_magnitude]]
-2.0776609697098563e-05,loss_metric[C(loss)[MSE]:C(metric)[work_opt]],other,loss_metric[C(loss)[MSE]:C(metric)[work_opt]]
1.2800630399585388e-05,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_opt]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_opt]]
7.975979297512791e-06,loss_metric[C(loss)[mcMSE]:C(metric)[work_opt]],other,loss_metric[C(loss)[mcMSE]:C(metric)[work_opt]]
1.9361198601774712e-06,loss_metric[C(loss)[MSE]:C(metric)[work_scale]],other,loss_metric[C(loss)[MSE]:C(metric)[work_scale]]
1.3816595279757517e-05,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_scale]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_scale]]
-1.575271513993541e-05,loss_metric[C(loss)[mcMSE]:C(metric)[work_scale]],other,loss_metric[C(loss)[mcMSE]:C(metric)[work_scale]]
-2.236080738293823e-05,loss_metric[C(loss)[MSE]:C(metric)[work_shape]],other,loss_metric[C(loss)[MSE]:C(metric)[work_shape]]
5.2033015239138207e-05,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_shape]],other,loss_metric[C(loss)[Sigma_MSE]:C(metric)[work_shape]]
-2.9672207856200286e-05,loss_metric[C(loss)[mcMSE]:C(metric)[work_shape]],other,loss_metric[C(loss)[mcMSE]:C(metric)[work_shape]]
-7.411196597591614,split[C(split)[sequence_cluster]],split,C(split
7.411196597588653,split[C(split)[spatial]],split,C(split
2.604969755576381e-07,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_0]],other,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_0]]
-2.60496975557635e-07,split_metric[C(split)[spatial]:C(metric)[cluster_0]],other,split_metric[C(split)[spatial]:C(metric)[cluster_0]]
1.5035438325648423e-07,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_1]],other,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_1]]
-1.5035438325648699e-07,split_metric[C(split)[spatial]:C(metric)[cluster_1]],other,split_metric[C(split)[spatial]:C(metric)[cluster_1]]
-7.862477101058374e-08,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_test]],other,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_test]]
7.862477101058101e-08,split_metric[C(split)[spatial]:C(metric)[d_mse_test]],other,split_metric[C(split)[spatial]:C(metric)[d_mse_test]]
-9.422724352495554e-09,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_train]],other,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_train]]
9.422724352492044e-09,split_metric[C(split)[spatial]:C(metric)[d_mse_train]],other,split_metric[C(split)[spatial]:C(metric)[d_mse_train]]
-1.264782017940126e-07,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_val]],other,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_val]]
1.264782017940091e-07,split_metric[C(split)[spatial]:C(metric)[d_mse_val]],other,split_metric[C(split)[spatial]:C(metric)[d_mse_val]]
2.1301358744936833e-07,split_metric[C(split)[sequence_cluster]:C(metric)[kl_divergence]],other,split_metric[C(split)[sequence_cluster]:C(metric)[kl_divergence]]
-2.130135874493692e-07,split_metric[C(split)[spatial]:C(metric)[kl_divergence]],other,split_metric[C(split)[spatial]:C(metric)[kl_divergence]]
-7.862477101058351e-08,split_metric[C(split)[sequence_cluster]:C(metric)[test_mse]],other,split_metric[C(split)[sequence_cluster]:C(metric)[test_mse]]
7.862477101058124e-08,split_metric[C(split)[spatial]:C(metric)[test_mse]],other,split_metric[C(split)[spatial]:C(metric)[test_mse]]
-9.422724352495346e-09,split_metric[C(split)[sequence_cluster]:C(metric)[train_mse]],other,split_metric[C(split)[sequence_cluster]:C(metric)[train_mse]]
