Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,val_loss,29.268479176950706,-92.2320138580301,150.7689722119315,False
metric,d_mse_test,15.251666311453683,-106.24882672352749,136.75215934643484,False
metric,d_mse_train,16.50738566384692,-104.9931073711339,138.00787869882774,False
metric,d_mse_val,38.35869603854918,-83.14179699643164,159.85918907353,False
metric,test_mse,15.251666311453622,-106.2488267235268,136.75215934643404,False
metric,train_mse,16.507385663846957,-104.99310737113353,138.00787869882745,False
metric,val_mse,38.35869603854908,-83.1417969964314,159.85918907352956,False
metric,kl_divergence,5.382399200775665,-116.11809383420473,126.88289223575606,False
metric,work_density,41.83929423543027,-79.66119879955066,163.3397872704112,False
metric,work_fitting,36.069855205757385,-85.43063782922357,157.57034824073835,False
metric,work_magnitude,46.324501756547896,-75.17599127843295,167.82499479152875,False
metric,work_opt,38.67977506713916,-82.82071796784167,160.18026810212,False
metric,work_scale,68.90189914662803,-52.59859388835291,190.40239218160895,False
metric,work_shape,24.132145383361788,-97.36834765161917,145.63263841834276,False
metric,cluster_0,78.93682442278234,-42.56366861219894,200.4373174577636,False
metric,cluster_1,-0.8332508425424368,-122.3337438775233,120.66724219243842,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,7.850424551805658,-162.62876742256103,178.32961652617232,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,0.8685631903827205,-17.398229632328775,19.135356013094214,False
exp,TeaA-IsoValidation,-25.994234537714377,-196.76676609083603,144.7782970154073,False
loss,MSE,0.0,0.0,0.0,True
loss,Sigma_MSE,5.081170808966647,-13.1856220137437,23.347963631676993,False
loss,mcMSE,-4.319179205247259,-22.585972027957617,13.947613617463098,False
split,sequence_cluster,0.0,0.0,0.0,True
split,spatial,4.840488446231151,-10.44260692151007,20.12358381397237,False
