value,term,type,level
1.5768888232665154e-11,ensemble[C(ensemble)[AF2_MSAss]],ensemble,C(ensemble
7.904304177079008e-12,ensemble[C(ensemble)[AF2_filtered]],ensemble,C(ensemble
-6.712700532293227e-12,ensemble[C(ensemble)[ISO_BI]],ensemble,C(ensemble
1.429924373742936e-12,ensemble[C(ensemble)[ISO_TRI]],ensemble,C(ensemble
