index,Primary_cluster,Secondary_cluster,n_Ca,n_CDZ_ligands,n_Ca_final,n_CDZ_ligands_final,dir_prefix
58,n,1,0,0,0,0,apo_protonated/cluster_n_1_ca0_cdz0/prot_rank4_plddt0.7637957
59,n,1,0,0,0,0,apo_protonated/cluster_n_1_ca0_cdz0/prot_rank5_plddt0.7632046
60,n,2,0,0,0,0,apo_protonated/cluster_n_2_ca0_cdz0/prot_rank1_plddt0.7650394
61,n,2,0,0,0,0,apo_protonated/cluster_n_2_ca0_cdz0/prot_rank2_plddt0.7642233
62,n,2,0,0,0,0,apo_protonated/cluster_n_2_ca0_cdz0/prot_rank3_plddt0.7641149
63,n,2,0,0,0,0,apo_protonated/cluster_n_2_ca0_cdz0/prot_rank4_plddt0.7640711
64,n,2,0,0,0,0,apo_protonated/cluster_n_2_ca0_cdz0/prot_rank5_plddt0.7637828
65,n,3,0,0,0,0,apo_protonated/cluster_n_3_ca0_cdz0/prot_rank1_plddt0.7644897
66,n,3,0,0,0,0,apo_protonated/cluster_n_3_ca0_cdz0/prot_rank2_plddt0.7643758
67,n,3,0,0,0,0,apo_protonated/cluster_n_3_ca0_cdz0/prot_rank3_plddt0.7642757
68,n,3,0,0,0,0,apo_protonated/cluster_n_3_ca0_cdz0/prot_rank4_plddt0.7638843
69,n,3,0,0,0,0,apo_protonated/cluster_n_3_ca0_cdz0/prot_rank5_plddt0.7636922
70,n,4,0,0,0,0,apo_protonated/cluster_n_4_ca0_cdz0/prot_rank1_plddt0.7657418
71,n,4,0,0,0,0,apo_protonated/cluster_n_4_ca0_cdz0/prot_rank2_plddt0.7651856
72,n,4,0,0,0,0,apo_protonated/cluster_n_4_ca0_cdz0/prot_rank3_plddt0.7648703
73,n,4,0,0,0,0,apo_protonated/cluster_n_4_ca0_cdz0/prot_rank4_plddt0.7642596
74,n,4,0,0,0,0,apo_protonated/cluster_n_4_ca0_cdz0/prot_rank5_plddt0.7635933
75,0,0,0,1,0,1,liganded_ions/cluster_0_0_ca0_cdz1/complex_rank1_plddt0.6150522_ca0_cdz1_minimised
76,0,0,0,1,0,1,liganded_ions/cluster_0_0_ca0_cdz1/complex_rank2_plddt0.6139583_ca0_cdz1_minimised
77,0,0,0,1,0,1,liganded_ions/cluster_0_0_ca0_cdz1/complex_rank3_plddt0.6112152_ca0_cdz1_minimised
78,0,0,0,1,0,1,liganded_ions/cluster_0_0_ca0_cdz1/complex_rank4_plddt0.6108564_ca0_cdz1_minimised
79,0,0,0,1,0,1,liganded_ions/cluster_0_0_ca0_cdz1/complex_rank5_plddt0.6086233_ca0_cdz1_minimised
80,0,0,0,2,0,2,liganded_ions/cluster_0_0_ca0_cdz2/complex_rank1_plddt0.5762119_ca0_cdz2_minimised
81,0,0,0,2,0,2,liganded_ions/cluster_0_0_ca0_cdz2/complex_rank2_plddt0.5741128_ca0_cdz2_minimised
82,0,0,0,2,0,2,liganded_ions/cluster_0_0_ca0_cdz2/complex_rank3_plddt0.5705228_ca0_cdz2_minimised
83,0,0,0,2,0,2,liganded_ions/cluster_0_0_ca0_cdz2/complex_rank4_plddt0.5703313_ca0_cdz2_minimised
84,0,0,0,2,0,2,liganded_ions/cluster_0_0_ca0_cdz2/complex_rank5_plddt0.5691996_ca0_cdz2_minimised
85,0,0,1,0,1,0,liganded_ions/cluster_0_0_ca1_cdz0/complex_rank1_plddt0.7906886_ca1_cdz0_minimised
86,0,0,1,0,1,0,liganded_ions/cluster_0_0_ca1_cdz0/complex_rank2_plddt0.7851796_ca1_cdz0_minimised
87,0,0,1,0,1,0,liganded_ions/cluster_0_0_ca1_cdz0/complex_rank3_plddt0.7825674_ca1_cdz0_minimised
88,0,0,1,0,1,0,liganded_ions/cluster_0_0_ca1_cdz0/complex_rank4_plddt0.7791187_ca1_cdz0_minimised
89,0,0,1,0,1,0,liganded_ions/cluster_0_0_ca1_cdz0/complex_rank5_plddt0.7778860_ca1_cdz0_minimised
90,0,0,1,1,1,1,liganded_ions/cluster_0_0_ca1_cdz1/complex_rank1_plddt0.6098101_ca1_cdz1_minimised
91,0,0,1,1,1,1,liganded_ions/cluster_0_0_ca1_cdz1/complex_rank2_plddt0.6082587_ca1_cdz1_minimised
92,0,0,1,1,1,1,liganded_ions/cluster_0_0_ca1_cdz1/complex_rank3_plddt0.6073918_ca1_cdz1_minimised
93,0,0,1,1,1,1,liganded_ions/cluster_0_0_ca1_cdz1/complex_rank4_plddt0.6070487_ca1_cdz1_minimised
94,0,0,1,1,1,1,liganded_ions/cluster_0_0_ca1_cdz1/complex_rank5_plddt0.5992316_ca1_cdz1_minimised
95,0,0,1,2,1,2,liganded_ions/cluster_0_0_ca1_cdz2/complex_rank1_plddt0.5693805_ca1_cdz2_minimised
96,0,0,1,2,1,2,liganded_ions/cluster_0_0_ca1_cdz2/complex_rank2_plddt0.5693774_ca1_cdz2_minimised
97,0,0,1,2,1,2,liganded_ions/cluster_0_0_ca1_cdz2/complex_rank3_plddt0.5677398_ca1_cdz2_minimised
98,0,0,1,2,1,2,liganded_ions/cluster_0_0_ca1_cdz2/complex_rank4_plddt0.5669262_ca1_cdz2_minimised
99,0,0,1,2,1,2,liganded_ions/cluster_0_0_ca1_cdz2/complex_rank5_plddt0.5662363_ca1_cdz2_minimised
100,0,0,2,0,2,0,liganded_ions/cluster_0_0_ca2_cdz0/complex_rank1_plddt0.5043100_ca2_cdz0_minimised
101,0,0,2,0,2,0,liganded_ions/cluster_0_0_ca2_cdz0/complex_rank2_plddt0.4927993_ca2_cdz0_minimised
102,0,0,2,0,2,0,liganded_ions/cluster_0_0_ca2_cdz0/complex_rank3_plddt0.4824123_ca2_cdz0_minimised
103,0,0,2,0,2,0,liganded_ions/cluster_0_0_ca2_cdz0/complex_rank4_plddt0.4804485_ca2_cdz0_minimised
104,0,0,2,0,2,0,liganded_ions/cluster_0_0_ca2_cdz0/complex_rank5_plddt0.4710792_ca2_cdz0_minimised
105,0,0,2,1,2,1,liganded_ions/cluster_0_0_ca2_cdz1/complex_rank1_plddt0.6133055_ca2_cdz1_minimised
106,0,0,2,1,2,1,liganded_ions/cluster_0_0_ca2_cdz1/complex_rank2_plddt0.6129173_ca2_cdz1_minimised
107,0,0,2,1,2,1,liganded_ions/cluster_0_0_ca2_cdz1/complex_rank3_plddt0.6116514_ca1_cdz1_minimised
108,0,0,2,1,2,1,liganded_ions/cluster_0_0_ca2_cdz1/complex_rank4_plddt0.6109251_ca2_cdz1_minimised
109,0,0,2,1,2,1,liganded_ions/cluster_0_0_ca2_cdz1/complex_rank5_plddt0.6064175_ca2_cdz1_minimised
110,0,0,2,2,2,2,liganded_ions/cluster_0_0_ca2_cdz2/complex_rank1_plddt0.5569825_ca2_cdz2_minimised
111,0,0,2,2,2,2,liganded_ions/cluster_0_0_ca2_cdz2/complex_rank2_plddt0.5566448_ca2_cdz2_minimised
112,0,0,2,2,2,2,liganded_ions/cluster_0_0_ca2_cdz2/complex_rank3_plddt0.5561316_ca2_cdz2_minimised
113,0,0,2,2,2,2,liganded_ions/cluster_0_0_ca2_cdz2/complex_rank4_plddt0.5552980_ca2_cdz2_minimised
114,0,0,2,2,2,2,liganded_ions/cluster_0_0_ca2_cdz2/complex_rank5_plddt0.5487877_ca2_cdz2_minimised
115,0,0,3,0,3,0,liganded_ions/cluster_0_0_ca3_cdz0/complex_rank1_plddt0.4778759_ca3_cdz0_minimised
116,0,0,3,0,3,0,liganded_ions/cluster_0_0_ca3_cdz0/complex_rank2_plddt0.4739587_ca3_cdz0_minimised
117,0,0,3,0,3,0,liganded_ions/cluster_0_0_ca3_cdz0/complex_rank3_plddt0.4700387_ca3_cdz0_minimised
118,0,0,3,0,3,0,liganded_ions/cluster_0_0_ca3_cdz0/complex_rank4_plddt0.4656658_ca3_cdz0_minimised
119,0,0,3,0,3,0,liganded_ions/cluster_0_0_ca3_cdz0/complex_rank5_plddt0.4650811_ca3_cdz0_minimised
120,0,0,3,1,3,1,liganded_ions/cluster_0_0_ca3_cdz1/complex_rank1_plddt0.6028784_ca2_cdz1_minimised
121,0,0,3,1,3,1,liganded_ions/cluster_0_0_ca3_cdz1/complex_rank2_plddt0.6010337_ca2_cdz1_minimised
122,0,0,3,1,3,1,liganded_ions/cluster_0_0_ca3_cdz1/complex_rank3_plddt0.5999864_ca3_cdz1_minimised
123,0,0,3,1,3,1,liganded_ions/cluster_0_0_ca3_cdz1/complex_rank4_plddt0.5983737_ca3_cdz1_minimised
124,0,0,3,1,3,1,liganded_ions/cluster_0_0_ca3_cdz1/complex_rank5_plddt0.5955104_ca3_cdz1_minimised
125,0,0,3,2,3,2,liganded_ions/cluster_0_0_ca3_cdz2/complex_rank1_plddt0.5559725_ca3_cdz2_minimised
126,0,0,3,2,3,2,liganded_ions/cluster_0_0_ca3_cdz2/complex_rank2_plddt0.5558309_ca3_cdz2_minimised
127,0,0,3,2,3,2,liganded_ions/cluster_0_0_ca3_cdz2/complex_rank3_plddt0.5550037_ca2_cdz2_minimised
128,0,0,3,2,3,2,liganded_ions/cluster_0_0_ca3_cdz2/complex_rank4_plddt0.5524116_ca3_cdz2_minimised
129,0,0,3,2,3,2,liganded_ions/cluster_0_0_ca3_cdz2/complex_rank5_plddt0.5486270_ca3_cdz2_minimised
130,0,0,4,0,4,0,liganded_ions/cluster_0_0_ca4_cdz0/complex_rank1_plddt0.4665994_ca4_cdz0_minimised
131,0,0,4,0,4,0,liganded_ions/cluster_0_0_ca4_cdz0/complex_rank2_plddt0.4586537_ca4_cdz0_minimised
132,0,0,4,0,4,0,liganded_ions/cluster_0_0_ca4_cdz0/complex_rank3_plddt0.4577393_ca4_cdz0_minimised
133,0,0,4,0,4,0,liganded_ions/cluster_0_0_ca4_cdz0/complex_rank4_plddt0.4563378_ca4_cdz0_minimised
134,0,0,4,0,4,0,liganded_ions/cluster_0_0_ca4_cdz0/complex_rank5_plddt0.4561180_ca4_cdz0_minimised
135,0,0,4,1,4,1,liganded_ions/cluster_0_0_ca4_cdz1/complex_rank1_plddt0.5936604_ca4_cdz1_minimised
136,0,0,4,1,4,1,liganded_ions/cluster_0_0_ca4_cdz1/complex_rank2_plddt0.5923398_ca3_cdz1_minimised
137,0,0,4,1,4,1,liganded_ions/cluster_0_0_ca4_cdz1/complex_rank3_plddt0.5901433_ca3_cdz1_minimised
138,0,0,4,1,4,1,liganded_ions/cluster_0_0_ca4_cdz1/complex_rank4_plddt0.5895023_ca4_cdz1_minimised
139,0,0,4,1,4,1,liganded_ions/cluster_0_0_ca4_cdz1/complex_rank5_plddt0.5849317_ca3_cdz1_minimised
140,0,0,4,2,4,2,liganded_ions/cluster_0_0_ca4_cdz2/complex_rank1_plddt0.5384502_ca4_cdz2_minimised
141,0,0,4,2,4,2,liganded_ions/cluster_0_0_ca4_cdz2/complex_rank2_plddt0.5359660_ca3_cdz2_minimised
142,0,0,4,2,4,2,liganded_ions/cluster_0_0_ca4_cdz2/complex_rank3_plddt0.5356039_ca3_cdz2_minimised
143,0,0,4,2,4,2,liganded_ions/cluster_0_0_ca4_cdz2/complex_rank4_plddt0.5353088_ca4_cdz2_minimised
144,0,0,4,2,4,2,liganded_ions/cluster_0_0_ca4_cdz2/complex_rank5_plddt0.5320705_ca3_cdz2_minimised
145,0,1,0,1,0,1,liganded_ions/cluster_0_1_ca0_cdz1/complex_rank1_plddt0.6158988_ca0_cdz1_minimised
146,0,1,0,1,0,1,liganded_ions/cluster_0_1_ca0_cdz1/complex_rank2_plddt0.6150655_ca0_cdz1_minimised
147,0,1,0,1,0,1,liganded_ions/cluster_0_1_ca0_cdz1/complex_rank3_plddt0.6109931_ca0_cdz1_minimised
148,0,1,0,1,0,1,liganded_ions/cluster_0_1_ca0_cdz1/complex_rank4_plddt0.6097286_ca0_cdz1_minimised
149,0,1,0,1,0,1,liganded_ions/cluster_0_1_ca0_cdz1/complex_rank5_plddt0.6082768_ca0_cdz1_minimised
150,0,1,0,2,0,2,liganded_ions/cluster_0_1_ca0_cdz2/complex_rank1_plddt0.5798107_ca0_cdz2_minimised
151,0,1,0,2,0,2,liganded_ions/cluster_0_1_ca0_cdz2/complex_rank2_plddt0.5796713_ca0_cdz2_minimised
152,0,1,0,2,0,2,liganded_ions/cluster_0_1_ca0_cdz2/complex_rank3_plddt0.5789195_ca0_cdz2_minimised
153,0,1,0,2,0,2,liganded_ions/cluster_0_1_ca0_cdz2/complex_rank4_plddt0.5762172_ca0_cdz2_minimised
154,0,1,0,2,0,2,liganded_ions/cluster_0_1_ca0_cdz2/complex_rank5_plddt0.5732794_ca0_cdz2_minimised
155,0,1,1,0,1,0,liganded_ions/cluster_0_1_ca1_cdz0/complex_rank1_plddt0.7885613_ca1_cdz0_minimised
156,0,1,1,0,1,0,liganded_ions/cluster_0_1_ca1_cdz0/complex_rank2_plddt0.7865857_ca1_cdz0_minimised
157,0,1,1,0,1,0,liganded_ions/cluster_0_1_ca1_cdz0/complex_rank3_plddt0.7863781_ca1_cdz0_minimised
158,0,1,1,0,1,0,liganded_ions/cluster_0_1_ca1_cdz0/complex_rank4_plddt0.7812611_ca1_cdz0_minimised
159,0,1,1,0,1,0,liganded_ions/cluster_0_1_ca1_cdz0/complex_rank5_plddt0.7806044_ca1_cdz0_minimised
160,0,1,1,1,1,1,liganded_ions/cluster_0_1_ca1_cdz1/complex_rank1_plddt0.6181992_ca1_cdz1_minimised
161,0,1,1,1,1,1,liganded_ions/cluster_0_1_ca1_cdz1/complex_rank2_plddt0.6166443_ca1_cdz1_minimised
162,0,1,1,1,1,1,liganded_ions/cluster_0_1_ca1_cdz1/complex_rank3_plddt0.6106160_ca1_cdz1_minimised
163,0,1,1,1,1,1,liganded_ions/cluster_0_1_ca1_cdz1/complex_rank4_plddt0.6083668_ca1_cdz1_minimised
164,0,1,1,1,1,1,liganded_ions/cluster_0_1_ca1_cdz1/complex_rank5_plddt0.6019858_ca1_cdz1_minimised
165,0,1,1,2,1,2,liganded_ions/cluster_0_1_ca1_cdz2/complex_rank1_plddt0.5596541_ca1_cdz2_minimised
