arm,quantile,strength,valid_pair,delta_recovery,delta_tv,delta_intermediate,delta_ess_fraction,delta_mse
25,0.16,0.01,True,3.2550892837264342,-0.03649092915193963,-0.036490929151939744,0.0017722528119524564,-0.0003259208496919604
26,0.16,0.03,True,3.459743898253322,-0.031707290976935365,-0.031707290976935476,0.000485540806057816,-0.00015549377260356927
27,0.32,0.01,True,12.811059986133465,-0.13789870560590728,-0.13789870560590733,-0.2453582332714508,-0.002112114380632346
28,0.32,0.03,True,8.381651114087454,-0.08981278865253989,-0.08981278865253994,-0.17386725889112237,-0.0013343029540061647
29,0.64,0.01,True,11.025359163744028,-0.11074780521625072,-0.11074780521625083,-0.3107593115859023,-0.0023468081984363053
30,0.64,0.03,True,5.165485942314518,-0.04949712418579966,-0.04949712418579977,-0.1972966077984451,-0.0013777570457906181
