arm,family,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
0,unregularised,0,0.32272791187840794,0.44900139962883034,0.2282706884927617,64.6464203424711,0.22827068849276172,0.004010438798951319,2.8047560519667556,8.215523853844859,1.0340150961814376
0,unregularised,1,0.32230855032889744,0.45014340210220216,0.22754804756890046,64.71074953616778,0.22754804756890043,0.004021522986749616,2.7862477855228778,8.332556736050801,1.0323345794002108
1,maxent,0,0.321028686490275,0.45107689248308114,0.22789442102664376,64.68582387551022,0.2278944210266438,0.003959296644804869,2.5820363423793,8.832541065105351,1.0271271739168768
1,maxent,1,0.32105206626065175,0.45098978051120003,0.22795815322814802,64.68022964056715,0.2279581532281481,0.003959761669216036,2.5880856190396986,8.810872687711322,1.0271648868616166
2,maxent,0,0.31637218564376546,0.45316633928696887,0.23046147506926584,64.47992249790269,0.23046147506926576,0.00371858846040945,2.128354941145539,9.177259546254643,1.0321524452821988
2,maxent,1,0.31638041304525333,0.4531368388642525,0.2304827480904942,64.4780791599664,0.23048274809049418,0.0037182662126401724,2.128304092350678,9.17731126801508,1.0321435354168846
3,maxent,0,0.3109939218585998,0.44706173318322834,0.24194434495817205,63.518857376220254,0.24194434495817196,0.0036494496818097037,2.027237151650369,9.323470562902827,1.0838839369713713
3,maxent,1,0.31099501573267785,0.4470582163717646,0.2419467678955574,63.51865089903408,0.24194676789555747,0.0036493748381218835,2.0271551104036916,9.32335175911195,1.0838991569504588
4,maxent,0,0.300244743279087,0.37683893530699264,0.3229163214139203,56.97067712321776,0.32291632141392035,0.0035600281670000143,1.0566985406537737,21.067494069176956,3.0494094164226793
4,maxent,1,0.30024523738565817,0.3768390125563692,0.32291575005797246,56.97071836335017,0.3229157500579726,0.0035600436979623938,1.0567075919271673,21.067205672276167,3.0494160909012957
5,maxent,0,0.19590626195284275,0.36056225997547553,0.4435314780716818,48.11070815854394,0.44353147807168175,0.01321470735470962,1.1389716092117776,799.3488326114019,1299.3613823256069
5,maxent,1,0.19590543623656906,0.36056517786312986,0.443529385900301,48.11084304171253,0.44352938590030105,0.013214819591731262,1.138971789589697,799.3521395830999,1299.3614196962058
6,maxent,0,0.02207666554001566,0.38104248502704663,0.5968808494329376,31.826429245688004,0.5968808494329376,0.9981463141935402,43.970321546331355,829.326046680155,1348.9094294516806
6,maxent,1,0.022076557316003914,0.381036932398111,0.5968865102858851,31.826134537481245,0.5968865102858851,0.9981457554816213,43.97032055826253,829.3259384290131,1348.9072322327675
19,hybrid_logpf,0,0.3560684756171571,0.3689494279411576,0.27498209644168553,60.190913938688475,0.2749820964416854,0.0034008101033767527,5.91236069761346,3.583418520591623,1.0397394042208383
19,hybrid_logpf,1,0.35870466553818475,0.36586479676471406,0.2754305376971011,60.09983201531692,0.27543053769710113,0.0034456740913606982,5.955967823824302,3.7142020329564525,1.0421623134624194
20,hybrid_logpf,0,0.35284856377438084,0.39750721050989124,0.24964422571572797,62.47437543922276,0.24964422571572795,0.003142842549588493,1.8401044176800054,9.550532183772752,1.05992829487979
20,hybrid_logpf,1,0.35063412843423863,0.3774154011510502,0.27195047041471093,60.555037814710346,0.27195047041471104,0.0034885646640089073,3.2666065637871227,7.013919784339119,1.0433149085935167
21,hybrid_logpf,0,0.2067055634986607,0.3326710301728974,0.46062340632844195,46.99598350122718,0.4606234063284419,0.003057440848337104,43.76041533467956,1.275568912601205,3.580361141491755
21,hybrid_logpf,1,0.20683920499128827,0.33321964241511215,0.4599411525935998,47.04426014744231,0.4599411525935997,0.0030510428658421396,43.779708303282455,1.2811393576343484,3.5458579695755392
22,hybrid_logpf,0,0.11401483101927411,0.5031581697407,0.3828269992400261,49.47521106008035,0.38282699924002594,0.0024442205986015693,43.98718790796323,3.173056364110833,1.4119729264008885
22,hybrid_logpf,1,0.11421008988926784,0.5036403018438351,0.3821496082668968,49.523224668749634,0.3821496082668969,0.0024544775294392494,43.987451762509714,3.1896974715816935,1.4138639964299127
23,hybrid_logpf,0,0.09174871642148373,0.45561014536970357,0.4526411382088128,44.444505082604344,0.45264113820881274,0.4097791114241273,43.995822233988186,567.2101572306046,379.7794726180765
23,hybrid_logpf,1,0.09167419514416507,0.45605465410371016,0.45227115075212465,44.46062284025313,0.4522711507521247,0.40745341886703934,43.99566211044189,567.1531643226514,375.11280294787815
