value,term,type,level
-1.7467598753435444e-12,ensemble[C(ensemble)[AF2_MSAss]],ensemble,C(ensemble
2.900869078695529e-12,ensemble[C(ensemble)[AF2_filtered]],ensemble,C(ensemble
1.1229170627208499e-12,ensemble[C(ensemble)[ISO_BI]],ensemble,C(ensemble
-1.2892751460869017e-12,ensemble[C(ensemble)[ISO_TRI]],ensemble,C(ensemble
