Term,Level,EMM,SE,Lower_CI,Upper_CI
metric,cluster_0,96.08461257309781,13.95719624325374,68.72850793632048,123.44071720987515
metric,cluster_1,12.394919590641276,20.720194888062146,-28.21666238996053,53.00650157124308
metric,d_mse_test,51.41020955165491,20.72019488806215,10.798627571053096,92.02179153225671
metric,d_mse_train,33.87548732943269,20.72019488806213,-6.73609465116909,74.48706931003446
metric,d_mse_val,59.26230506822411,20.720194888062128,18.65072308762234,99.87388704882588
metric,kl_divergence,56.09314083820465,20.720194888062125,15.481558857602884,96.7047228188064
metric,test_mse,51.41020955165492,20.72019488806212,10.798627571053167,92.02179153225669
metric,train_mse,33.875487329432694,20.720194888062114,-6.736094651169047,74.48706931003443
metric,val_loss,27.246284113058387,20.720194888062142,-13.365297867543411,67.85786609366019
metric,val_mse,59.26230506822409,20.72019488806213,18.65072308762231,99.87388704882586
metric,work_density,65.03259015594337,20.72019488806215,24.421008175341555,105.64417213654518
metric,work_fitting,67.1585648148127,20.720194888062128,26.546982834210937,107.77014679541448
metric,work_magnitude,9.509015594539871,20.720194888062142,-31.102566386061927,50.12059757514167
metric,work_opt,64.68536793372115,20.720194888062146,24.073785953119348,105.29694991432297
metric,work_scale,63.8036062378147,20.72019488806215,23.192024257212886,104.41518821841652
metric,work_shape,46.10593323586541,20.720194888062156,5.494351255263581,86.71751521646723
mclass,GT+alt,51.260964912278865,15.988989271639335,19.92254593986577,82.59938388469196
mclass,GT-only,51.260964912278865,15.988989271639335,19.92254593986577,82.59938388469196
exp,MoPrP-RW+BV,53.89025950292146,15.462263051945156,23.584223921108954,84.19629508473396
exp,MoPrP-Reweighting,53.89025950292146,15.462263051945156,23.584223921108954,84.19629508473396
exp,TeaA-IsoValidation,53.89025950292146,15.462263051945156,23.584223921108954,84.19629508473396
