Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,cluster_0,99.95964303118642,53.410199914054374,146.50908614831846,False
metric,cluster_1,16.269950048729875,-30.279493068402346,62.819393165862095,False
metric,d_mse_test,55.28524000974351,8.735796892611312,101.83468312687572,False
metric,d_mse_train,37.75051778752129,-8.798925329610888,84.29996090465346,False
metric,d_mse_val,63.13733552631271,16.58789240918054,109.68677864344488,False
metric,kl_divergence,59.96817129629325,13.4187281791611,106.5176144134254,False
metric,test_mse,55.285240009743525,8.735796892611383,101.83468312687566,False
metric,train_mse,37.7505177875213,-8.798925329610832,84.29996090465343,False
metric,val_loss,31.121314571146982,-15.42812854598521,77.67075768827917,False
metric,val_mse,63.13733552631269,16.587892409180526,109.68677864344485,False
metric,work_density,68.90762061403197,22.358177496899764,115.45706373116417,False
metric,work_fitting,71.03359527290131,24.484152155769152,117.58303839003347,False
metric,work_magnitude,13.384046052628468,-33.16539706450372,59.93348916976066,False
metric,work_opt,68.56039839180976,22.010955274677556,115.10984150894195,False
metric,work_scale,67.6786366959033,21.12919357877108,114.2280798130355,False
metric,work_shape,49.98096369395401,3.4315205768217822,96.53040681108624,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,-4.012853313839357,-61.49768868282022,53.4719820551415,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,-1.9097222222225325,-32.84866142542151,29.029216980976447,False
exp,TeaA-IsoValidation,-4.794864766078596,-64.67842671163898,55.088697179481784,False
