Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,cluster_0,98.1705686866609,-232.55107297383063,428.8922103471524,False
metric,cluster_1,10.739099388413178,-319.98254227206894,341.46074104889533,False
metric,d_mse_test,49.2707825701329,-281.45085909035004,379.9924242306158,False
metric,d_mse_train,46.482682884189686,-284.2389587762932,377.20432454467255,False
metric,d_mse_val,59.02278603558668,-271.69885562489617,389.7444276960696,False
metric,kl_divergence,65.52973386426329,-265.1919077962186,396.25137552474513,False
metric,test_mse,49.27078257013294,-281.4508590903496,379.9924242306155,False
metric,train_mse,46.482682884189686,-284.2389587762927,377.20432454467203,False
metric,val_loss,41.3795991718223,-289.3420424886599,372.1012408323045,False
metric,val_mse,59.02278603558672,-271.69885562489554,389.74442769606895,False
metric,work_density,65.15831438191543,-265.5633272785674,395.87995604239825,False
metric,work_fitting,65.29774474795398,-265.4238969125285,396.01938640843645,False
metric,work_magnitude,27.97330179257171,-302.74833986791066,358.69494345305407,False
metric,work_opt,65.01143870506903,-265.7102029554138,395.7330803655519,False
metric,work_scale,54.037135180052736,-276.6845064804299,384.7587768405354,False
metric,work_shape,49.63594122293775,-281.0857004375449,380.3575828834204,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,-6.128336853106101,-473.05206577319086,460.7953920669787,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,-6.287818794675862,-25.857807907557724,13.282170318206003,False
exp,TeaA-IsoValidation,-45.92673814196513,-512.9710733577995,421.11759707386926,False
