l2_weight,x_regularisation,maxent_regularisation,mse,trial_index
97.73574219489636,2.0563601337349002,29.439915730875526,0.20622000970767532,0
0.0777538539708562,162.51847288451168,2.202641362329239,0.20860361171434727,1
0.8390094192569736,11.721398166664319,3.3987886650810504,0.1973603044380186,2
9.061006292681995,925.952863346271,0.254435499585955,0.21380386840738197,3
1.5386621476843783,24.208610913065186,0.7011956521137241,0.19508017780031076,4
0.16341846465664092,274.0550524249695,52.47386887109415,0.19177569778240072,5
0.01,1.0,0.1,0.19791578261057796,6
0.01,1.0,100.0,0.2618135051027365,7
100.0,1.0,0.1,0.20886240792187727,8
100.0,1000.0,100.0,0.1947769405834095,9
0.01,1000.0,0.1,0.1974235915305888,10
0.4201562882345312,1.0,3.032069196901543,0.2009739361838327,11
0.01,1000.0,100.0,0.26179844593189927,12
0.01,28.373704640756397,0.1,0.20960637000005417,13
100.0,73.73162048641245,0.1,0.20886240792187727,14
100.0,162.64487959724443,5.51201979794308,0.20732682841053177,15
1.2687322337089582,1.0,0.1,0.20655041377964417,16
3.013602327262236,16.52644737127983,100.0,0.20674930065726818,17
0.669091851000844,94.17204276582275,0.1,0.19710331148689247,18
100.0,1.0,2.5607584314834786,0.20676302104166497,19
