ensemble,loss_function,split_type,split_idx,maxent_value,convergence_value,kl_divergence,train_mse,val_mse,test_mse,d_mse_train,d_mse_val,d_mse_test,work_scale,work_shape,work_density,work_opt,work_fitting,recovery_percent,cluster_0,cluster_1
ISO_BI,Sigma_MSE,spatial,0,10.0,1.0,0.36645433341550926,0.07585997060362742,0.0836227921542438,0.08056507054757307,0.00025684827414754197,-8.802426011991771e-05,8.383384258224547e-05,0.04222825,0.15361017,7.4246106,7.3185997,7.662678,69.44270318954565,0.09741414,0.90258586
ISO_BI,Sigma_MSE,spatial,0,10.0,0.1,0.15439554197163707,0.07481669641386252,0.08308591873493025,0.07978040820744849,-0.000786425915617367,-0.0006248976794334671,-0.0007008284975423412,0.008394272,0.14680722,8.027686,7.9283414,8.191281,73.29742005180631,0.12797019,0.8720298
ISO_BI,Sigma_MSE,spatial,0,10.0,0.01,0.18146366097141267,0.07542774909449189,0.08334073768811381,0.08021037871054049,-0.00017537323498799384,-0.00037007872624990334,-0.00027085799445034087,0.02635787,0.1675088,8.5888,8.469401,8.809026,72.728278976496,0.123284504,0.8767154
ISO_BI,Sigma_MSE,spatial,0,10.0,0.001,0.11578209834764551,0.07525796834489193,0.08322413633488468,0.08006816841975216,-0.00034515398458795365,-0.0004866800794790377,-0.00041306828523866856,0.018498797,0.16900308,8.859886,8.740854,9.0658865,73.69366420715446,0.13126697,0.86873305
ISO_BI,Sigma_MSE,spatial,0,10.0,0.0001,0.11834062262108788,0.07479951694023042,0.0831168945923744,0.07978725915146474,-0.0008036053892494649,-0.0005939218219893211,-0.0006939775535260845,0.004747794,0.20128867,10.693172,10.552867,10.903957,76.31660400899142,0.1537859,0.8462142
ISO_BI,Sigma_MSE,spatial,0,10.0,1e-05,0.14117677811860618,0.07487804486143713,0.08302583134111764,0.07978103441565228,-0.000725077468042748,-0.0006849850732460749,-0.0007002022893385501,0.011072637,0.21711324,11.326237,11.172997,11.5654955,77.11855768913549,0.16090538,0.83909464
ISO_BI,Sigma_MSE,spatial,0,10.0,1e-06,0.13524512758260757,0.07491483078477162,0.0830233652862835,0.07979807681610614,-0.0006882915447082583,-0.0006874511280802187,-0.0006831598888846907,0.011360453,0.21565747,11.248016,11.096523,11.486395,77.05192001176509,0.1603097,0.83969027
ISO_BI,Sigma_MSE,spatial,0,10.0,1e-07,0.1346465896324213,0.07491651353043026,0.08302500711559754,0.07979972771806176,-0.0006866087990496234,-0.000685809298766174,-0.0006815089869290636,0.0115650175,0.21500397,11.2225065,11.071406,11.460641,77.00397732836481,0.15988164,0.84011835
ISO_BI,MSE,spatial,2,5.0,1.0,0.3587501458045664,0.07895331061908446,0.08175662445592413,0.08117489824909269,0.0018573417593012176,-0.0004917796736054469,0.000693661544101859,0.0951438,0.2002661,11.212532,11.070544,11.6030855,69.1660200965019,0.09533012,0.9046699
ISO_BI,MSE,spatial,2,5.0,0.1,2.182150926752214,0.08262526513651554,0.0810928795839223,0.08265710961468532,0.005529296276732293,-0.0011555245456072727,0.0021758729096944956,0.23159531,0.57765776,25.866,25.471127,26.906849,87.73346406592454,0.26431206,0.7356879
ISO_BI,MSE,spatial,2,5.0,0.01,3.7294547484275973,0.08507529528434642,0.08191675421235801,0.08430824003637054,0.007979326424563171,-0.0003316499171715642,0.003827003331379711,0.29076433,0.8176276,39.354332,38.82742,40.753487,89.75572486092246,0.28569597,0.71430403
ISO_BI,MSE,spatial,2,5.0,0.001,3.824130910534563,0.08534184032165053,0.08267189368516671,0.08482730215422919,0.008245871461867282,0.00042348955563713264,0.004346065449238365,0.3120628,0.8093673,38.18796,37.675137,39.621452,90.26859827795144,0.29119176,0.7088083
ISO_BI,MSE,spatial,2,5.0,0.0001,3.7443428840353703,0.08512202619673233,0.08207975712337623,0.08441426023542006,0.008026057336949083,-0.0001686470061533496,0.003933023530429236,0.29607823,0.78838074,37.281944,36.778515,38.66248,89.68562837192255,0.28494707,0.71505296
ISO_BI,MSE,spatial,2,5.0,1e-05,3.7619585384719807,0.08511122345408817,0.08202218921202407,0.08438007440787468,0.008015254594304924,-0.0002262149175055045,0.0038988377028838506,0.29458448,0.78862274,37.345383,36.841473,38.72317,89.56369315750393,0.28364557,0.7163544
ISO_BI,MSE,spatial,2,5.0,1e-06,3.7685111806633707,0.08511135141450628,0.08202055079953728,0.08437933136400447,0.008015382554723033,-0.00022785332999229746,0.00389809465901364,0.29449645,0.7889803,37.3629,36.85875,38.74087,89.5706463070055,0.28371975,0.7162802
ISO_BI,MSE,spatial,2,5.0,1e-07,3.772923676066304,0.08511261624898839,0.08201926356632505,0.08437933263073813,0.008016647389205142,-0.00022914056320452736,0.0038980959257473025,0.29449645,0.78913647,37.370636,36.86639,38.748764,89.56805380908386,0.28369212,0.716308
ISO_BI,MSE,spatial,2,5.0,1e-08,3.7729317376929523,0.08511261505065526,0.0820192684967712,0.08437933475304754,0.008016646190872015,-0.00022913563275837878,0.003898098048056714,0.2944941,0.7891359,37.370613,36.866364,38.748737,89.56801123173935,0.28369164,0.71630836
ISO_TRI,Sigma_MSE,spatial,2,1000.0,1.0,0.3450792586331767,0.07703627498892096,0.08093851856209,0.07983544330941272,0.0007158660331425537,-0.0004760353433039821,0.00011399405130507745,0.046907067,0.13257326,7.477273,7.388868,7.70366,33.25118094588097,0.03638605,0.3685496
ISO_TRI,Sigma_MSE,spatial,2,1000.0,0.1,1.49134330213861,0.07861066417689266,0.08021957535271482,0.08025391447093035,0.002290255221114257,-0.0011949785526791656,0.0005324652128226998,0.10310991,0.32233384,17.63316,17.421448,18.161715,39.99213652973216,0.11754661,0.3347944
ISO_TRI,Sigma_MSE,spatial,2,1000.0,0.01,5.121383526336276,0.08182487458288096,0.08214474157706993,0.08266369698494778,0.0055044656271025505,0.0007301876716759442,0.0029422477268401387,0.16348967,0.7274569,35.42215,34.916275,36.476585,44.18202068347101,0.16083784,0.34312344
ISO_TRI,Sigma_MSE,spatial,2,1000.0,0.001,5.132950359621233,0.08016456210427955,0.08116263296740354,0.08135405539107256,0.003844153148501145,-0.000251920937990438,0.0016326061329649116,0.10975587,0.73872006,36.59171,36.080338,37.549942,49.552328123010035,0.18336017,0.39708957
ISO_TRI,Sigma_MSE,spatial,2,1000.0,0.0001,5.0531680368204785,0.08055638895594566,0.08178847891877337,0.0818777948621397,0.004235980000167255,0.000373925013379392,0.0021563456040320506,0.1354287,0.71802247,35.278774,34.784504,36.26765,47.87845060891722,0.18425159,0.3707101
ISO_TRI,Sigma_MSE,spatial,2,1000.0,1e-05,5.069617290720062,0.0805514757753963,0.0818412720681813,0.08190272433368825,0.004231066819617893,0.0004267181627873179,0.0021812750755806076,0.13596389,0.71853656,35.33382,34.83904,36.324284,47.87248591644217,0.18477798,0.3699905
ISO_TRI,Sigma_MSE,spatial,2,1000.0,1e-06,5.069746827424199,0.08055146053844427,0.08184150441296449,0.08190283577972293,0.00423105158266586,0.0004269505075705088,0.002181386521615286,0.13595675,0.71856016,35.335423,34.840622,36.325893,47.87214952010165,0.18478921,0.36997202
ISO_TRI,Sigma_MSE,spatial,2,1000.0,1e-07,5.070904449454522,0.0805513931106892,0.08184269564138434,0.08190341431678205,0.0042309841549108,0.0004281417359903589,0.0021819650586744066,0.13597341,0.7185653,35.33419,34.8394,36.324703,47.87265893060043,0.18478855,0.36998045
ISO_TRI,Sigma_MSE,spatial,2,1000.0,1e-08,5.072609987083178,0.08055136029056854,0.08184431177975701,0.08190424073524563,0.004230951334790137,0.00042975787436302926,0.0021827914771379853,0.13598767,0.7185942,35.333717,34.83893,36.324287,47.87313682125869,0.1847934,0.36998177
ISO_TRI,MSE,spatial,0,30.0,1.0,0.3202742311417821,0.07651142168710609,0.08341141171494962,0.08078359877841808,0.0011716713121930067,0.0009672780666390157,0.001062149520310432,0.08536753,0.18547319,7.9286027,7.8095856,8.284811,36.384612602922914,0.020795707,0.48066592
