ensemble,target_mode,split_type,split_index,baseline_recovery_pct_conditional,candidate_recovery_pct_conditional,recovery_gain_pp_conditional,baseline_open_ess_conditional,candidate_open_ess_conditional,candidate_open_ess_fraction_conditional,uniform_variance_jsd_gradient_cosine_conditional,uniform_variance_step_jsd_change_conditional,baseline_variance_jsd_gradient_cosine_conditional,baseline_variance_step_jsd_change_conditional,mean_preserved_conditional,variance_profile,baseline_recovery_pct_marginal,candidate_recovery_pct_marginal,recovery_gain_pp_marginal,baseline_open_ess_marginal,candidate_open_ess_marginal,candidate_open_ess_fraction_marginal,uniform_variance_jsd_gradient_cosine_marginal,uniform_variance_step_jsd_change_marginal,baseline_variance_jsd_gradient_cosine_marginal,baseline_variance_step_jsd_change_marginal,mean_preserved_marginal,recovery_winner,conditional_minus_marginal_recovery_pp,conditional_minus_marginal_open_ess
BI,average_after,sequence_cluster,0,80.7499771118164,85.0484619140625,4.298484802246094,12.77531623840332,12.817909240722656,0.9859930185171274,0.0677716806530952,-9.894371032714844e-06,0.9660137891769408,-0.0001745223999023,True,marginal,80.7499771118164,87.31539916992188,6.565422058105469,12.77531623840332,12.663211822509766,0.9740932171161358,0.9767166376113892,-0.0001424551010131,0.9724652171134948,-0.0001757144927978,True,marginal,-2.266937255859375,0.15469741821289062
BI,average_after,sequence_cluster,1,80.60355377197266,85.2603759765625,4.656822204589844,12.774322509765623,12.81184196472168,0.9855263049785908,-0.0311200432479381,4.470348358154297e-06,0.962942123413086,-0.0001748800277709,True,marginal,80.60355377197266,87.5496597290039,6.94610595703125,12.774322509765623,12.775642395019531,0.98274172269381,0.9642560482025146,-0.0001405477523803,0.9775624871253968,-0.0001775026321411,True,marginal,-2.2892837524414062,0.03619956970214844
BI,average_after,sequence_cluster,2,82.11434173583984,87.1294174194336,5.01507568359375,12.610403060913086,12.72258186340332,0.978660143338717,-0.0732903853058815,1.0669231414794922e-05,0.9767774939537048,-0.0001696348190307,True,marginal,82.11434173583984,88.14898681640625,6.034645080566406,12.610403060913086,12.669819831848145,0.9746015255267804,0.9630823731422424,-0.0001404881477355,0.9596654772758484,-0.0001666545867919,True,marginal,-1.0195693969726562,0.05276203155517578
BI,average_after,spatial,0,79.41944885253906,83.72814178466797,4.308692932128906,12.686285018920898,12.762215614318848,0.981708893409142,-0.0721851885318756,1.055002212524414e-05,0.9541222453117372,-0.0001795291900634,True,marginal,79.41944885253906,85.50968170166016,6.090232849121094,12.686285018920898,12.736799240112305,0.9797537877009466,0.9551047682762146,-0.00013929605484,0.9679822325706482,-0.0001822113990783,True,marginal,-1.7815399169921875,0.02541637420654297
BI,average_after,spatial,1,78.38314056396484,82.36827850341797,3.985137939453125,12.746574401855469,12.699625015258787,0.9768942319429836,-0.0935172513127327,1.3709068298339844e-05,0.9474164843559264,-0.0001825094223022,True,marginal,78.38314056396484,84.7815170288086,6.39837646484375,12.746574401855469,12.674118041992188,0.974932157076322,0.963796615600586,-0.0001405477523803,0.9702423214912416,-0.0001869201660156,True,marginal,-2.413238525390625,0.025506973266599786
BI,average_after,spatial,2,80.82648468017578,85.36442565917969,4.537940979003906,12.659201622009276,12.781248092651367,0.9831729302039514,-0.3661565482616424,5.322694778442383e-05,0.958159863948822,-0.0001735687255859,True,marginal,80.82648468017578,88.14338684082031,7.316902160644531,12.659201622009276,12.603068351745604,0.9694667962881236,0.9567821025848388,-0.0001395344734191,0.9764092564582824,-0.0001769661903381,True,marginal,-2.778961181640625,0.1781797409057635
BI,average_first,sequence_cluster,0,87.57986450195312,90.38493347167967,2.8050689697265625,12.878247261047363,12.93542194366455,0.9950324572049656,0.0677716806530952,-9.894371032714844e-06,0.9857906699180604,-0.0001288652420043,True,marginal,87.57986450195312,90.56101989746094,2.9811553955078125,12.878247261047363,12.853997230529783,0.9887690177330604,0.9767166376113892,-0.0001424551010131,0.956574022769928,-0.0001251101493835,True,marginal,-0.1760864257812642,0.0814247131347674
BI,average_first,sequence_cluster,1,87.39292907714844,90.52913665771484,3.1362075805664062,12.851783752441406,12.914196014404297,0.9933996934157152,-0.0311200432479381,4.470348358154297e-06,0.9854175448417664,-0.0001305937767028,True,marginal,87.39292907714844,90.68209075927734,3.2891616821289062,12.851783752441406,12.859820365905762,0.9892169512235202,0.9642560482025146,-0.0001405477523803,0.973900556564331,-0.0001290440559387,True,marginal,-0.1529541015625,0.054375648498535156
BI,average_first,sequence_cluster,2,88.06334686279297,91.10723114013672,3.04388427734375,12.838536262512209,12.912835121154783,0.9932950093195988,-0.0732903853058815,1.0669231414794922e-05,0.987440586090088,-0.0001251101493835,True,marginal,88.06334686279297,90.8778076171875,2.8144607543945312,12.838536262512209,12.810304641723633,0.9854080493633564,0.9630823731422424,-0.0001404881477355,0.9551745653152466,-0.0001210272312164,True,conditional,0.22942352294921875,0.10253047943115057
BI,average_first,spatial,0,86.22061920166016,89.14301300048828,2.922393798828125,12.761326789855955,12.889166831970217,0.9914743716900164,-0.0721851885318756,1.055002212524414e-05,0.9792014360427856,-0.000139832496643,True,marginal,86.22061920166016,89.34654235839844,3.1259231567382812,12.761326789855955,12.886619567871094,0.9912784282977763,0.9551047682762146,-0.00013929605484,0.9452326893806458,-0.000135064125061,True,marginal,-0.20352935791015625,0.00254726409912287
