stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv,target_mode,distance,sigma
uptake,ISO_TRI,0,unregularised,0.0,,True,0.0007393351753524744,0.0001364464427058544,5.308419121389784e-07,3000,0.04184909908222488,0.08665787267287615,0.8714930282448993,15.598415524634623,0.8714930282448992,0.03549748237683398,9.922850859467422,13.83237355157178,63.600491127688535,1.704908483220538e-05,rate,,
uptake,ISO_TRI,1,maxent,1e-05,,True,0.0008025672737256333,0.00013938939741575814,3.189149774830006e-05,1000,0.04215636051549637,0.0871929047341378,0.8706507347503659,15.676617841436391,0.8706507347503658,0.036107748247526876,10.18359688649564,14.097138671180742,64.6050940102744,4.502578486023645e-05,rate,,
uptake,ISO_TRI,2,maxent,0.0001,,True,0.001099211060080376,0.00015114458479697368,1.2183525431599083e-06,1000,0.04433754682103554,0.09482009354138687,0.8608423596375777,16.559813667288658,0.8608423596375776,0.038466439417058934,10.916553508790942,18.66322278091508,67.23315018278839,5.71656914758259e-06,rate,,
uptake,ISO_TRI,3,maxent,0.001,,True,0.0026413134842471035,0.0002541185418331941,6.119056128742829e-08,1000,0.05197265905005702,0.13493454385988773,0.8130927970900553,20.571579468416378,0.8130927970900552,0.052084309687197614,15.017918277109425,124.54918411674818,79.62418568963066,2.4017608885734676e-07,rate,,
uptake,ISO_TRI,4,maxent,0.01,,True,0.007975020773988532,0.0008440123782613254,4.350392369220684e-16,1000,0.08081585567029449,0.25823018217982907,0.6609539621498766,31.860190237557994,0.6609539621498766,0.14435273482121433,27.227629184321653,685.9767150004841,157.348297790014,7.632783294297951e-17,rate,,
uptake,ISO_TRI,5,maxent,0.1,,True,0.015498094031971875,0.00251596134984901,1.2905295811825553e-08,1000,0.03311149192303915,0.354850069552791,0.6120384385241698,32.0902380248256,0.6120384385241698,0.9533280356983851,43.533902072666386,824.8388261191465,1275.8611737286235,1.0223253456495551e-06,rate,,
uptake,ISO_TRI,6,maxent,1.0,,True,0.017427451713157016,0.0031692961468214394,7.400592029620473e-07,1000,0.020837295277112648,0.3716791627492096,0.6074835419736777,31.16217531566744,0.6074835419736777,0.9994906041120283,43.99740234667,829.9285739271579,1350.0794899321202,2.2462064928965852e-06,rate,,
uptake,ISO_TRI,7,scalar_logpf,0.1,0.02,False,0.0033971850944938577,0.0006084394783995005,0.01521616458208322,1000,0.09421528406613128,0.18161447868221547,0.7241702372516533,27.841663659084503,0.7241702372516532,0.20359596062529048,39.41728052412866,91.79413316816692,323.12259818961405,0.0025725289261703532,rate,,
uptake,ISO_TRI,8,scalar_logpf,0.1,0.04,True,0.004538343498587013,0.0008118960725053437,0.00262915667578932,1000,0.06646006528146714,0.2156593765779134,0.7178805581406195,27.723872698859775,0.7178805581406195,0.3062805055359186,42.65254889381324,154.32670139101418,485.04499474145035,0.0014564687983819671,rate,,
uptake,ISO_TRI,9,scalar_logpf,0.1,0.08,True,0.007055324787791702,0.0012392107523677297,0.007938295212597181,1000,0.0447938848849049,0.2679196946917623,0.6872864204233329,28.70794957788111,0.6872864204233329,0.48756694493805447,42.76288587130297,321.6143274958514,724.8304920953353,0.002858158908565448,rate,,
uptake,ISO_TRI,10,scalar_logpf,0.1,0.16,True,0.009449974846518347,0.0016311730030023125,0.001513190222756362,1000,0.035172648600187845,0.31377023674488125,0.6510571146549309,30.152756940424098,0.6510571146549309,0.5312201141291332,42.92190959759877,520.6747219121291,674.8087409446563,5.665711086218217e-05,rate,,
uptake,ISO_TRI,11,scalar_logpf,0.1,0.32,True,0.011594469025445104,0.002013084032519462,9.422519676799011e-07,1000,0.02958374608858531,0.35267314284396223,0.6177431110674525,31.486931225199545,0.6177431110674525,0.8080340387359062,43.68340477076647,689.4526869955354,1072.6052924272199,1.1212391950721906e-05,rate,,
uptake,ISO_TRI,12,scalar_logpf,0.1,0.64,True,0.013497123107784007,0.002369288450947291,0.0009079523761841248,1000,0.02590053436255066,0.3753775610770068,0.5987219045604426,32.12352593115033,0.5987219045604426,0.907912623120841,43.94965069134406,801.713021616059,1179.1676458146799,0.00018606303286335633,rate,,
uptake,ISO_TRI,13,profile_logpf,0.1,0.02,True,0.005306559898264111,0.0009111917179024302,0.001027015757904021,1000,0.06415168548906854,0.23590978203791346,0.6999385324730181,28.816666879212825,0.6999385324730181,0.3897058872097506,43.89179000701425,227.71177238177773,601.0409178641547,0.00031156835668012806,rate,,
uptake,ISO_TRI,14,profile_logpf,0.1,0.04,True,0.006516305102970398,0.0011202858011302788,0.0007777066357929434,1000,0.05255699524432777,0.2665726208345204,0.6808703839211518,29.504926478805903,0.6808703839211518,0.4846952486359228,43.91466357005906,322.6110226844637,719.7499851179892,0.00020241300859502598,rate,,
uptake,ISO_TRI,15,profile_logpf,0.1,0.08,True,0.008046556542557263,0.0013830205445766262,8.700943862656566e-07,1000,0.04299023340092168,0.29412174408985414,0.6628880225092242,30.02407529833767,0.6628880225092242,0.5971886769672083,43.93880659212125,438.2161393531582,856.3710838877828,5.72296520569282e-07,rate,,
uptake,ISO_TRI,16,profile_logpf,0.1,0.16,True,0.009999440723282555,0.0017184532683576178,0.0011702293308672974,1000,0.035217617357261435,0.3269686825666539,0.6378137000760848,30.881666351034344,0.6378137000760847,0.7290040749652626,43.95183378855536,590.5718437349242,998.8728840003366,6.697669159590539e-05,rate,,
uptake,ISO_TRI,17,profile_logpf,0.1,0.32,True,0.01188632066432376,0.002060266276291862,0.0012540907646423618,1000,0.02980164842475118,0.358127998738148,0.6120703528371009,31.80228056427714,0.6120703528371008,0.8368271967300587,43.966003583430954,727.065834444235,1100.3264239590942,0.00027361328474545706,rate,,
uptake,ISO_TRI,18,profile_logpf,0.1,0.64,True,0.013431881383837076,0.0023591385977007975,1.069790882650453e-06,1000,0.026319846804539273,0.3762096645191899,0.5974704886762707,32.2280139385024,0.5974704886762707,0.9084558306070227,43.97737134042566,806.353725071868,1176.3654281811316,1.8455588958084246e-06,rate,,
uptake,ISO_TRI,25,hierarchical_rmsd,0.1,0.02,False,0.0008407258222761798,0.0001551555139380662,0.01050876706209826,10000,0.04219741529864416,0.08697137678225575,0.8708312079191003,15.66117332990843,0.8708312079191002,0.03693423907564806,9.814730595720178,12.589820167128064,66.60124817458916,0.000516415962150369,rate,rmsd,0.0040816326530546
uptake,ISO_TRI,26,hierarchical_rmsd,0.1,0.04,False,0.0008837039190845396,0.000162973791650795,0.1419721395322616,10000,0.041979136062237576,0.09035436905899982,0.8676664948787627,15.936244850261971,0.8676664948787627,0.03621865117895826,9.93820377169973,11.198886183596985,65.44935653156655,0.0027060068186511924,rate,rmsd,0.007993197278914
uptake,ISO_TRI,27,hierarchical_rmsd,0.1,0.08,False,0.000976691407546609,0.00018000159233339097,0.04697536315716165,10000,0.05063534547958388,0.09872572148876922,0.8506389330316468,17.509352041492743,0.8506389330316468,0.04224017303502503,15.9640056429493,13.135758612301817,74.30961955899072,0.004443629251140658,rate,rmsd,0.0159863945578315
uptake,ISO_TRI,28,hierarchical_rmsd,0.1,0.16,False,0.0015597059612736694,0.00027245817554421827,0.08623131279060417,3000,0.08764239117255199,0.1143531033140028,0.7980045055134453,22.044857038101195,0.7980045055134453,0.05675113476432936,16.913960929691182,16.031530958664014,95.7662307274446,0.005902747180602984,rate,rmsd,0.0321428571428636
uptake,ISO_TRI,29,hierarchical_rmsd,0.1,0.32,False,0.00196255999014683,0.00035974458137731495,0.05370854309898052,10000,0.1210171576526424,0.1272439530102953,0.7517388893370622,25.632451090118856,0.7517388893370622,0.07372515580503683,25.536261853798855,21.51266203225941,118.47200397906272,0.01598556432335079,rate,rmsd,0.0656462585034152
uptake,ISO_TRI,30,hierarchical_rmsd,0.1,0.64,False,0.00260635943159976,0.00047595454869304673,0.2570415254793565,10000,0.14247299407106126,0.16273352067247954,0.6947934852564592,30.037162940153284,0.6947934852564592,0.08928209309157166,43.995214531097474,28.88626005693864,132.04873816745257,0.027711561630954763,rate,rmsd,0.1454081632653086
uptake,ISO_TRI,31,hierarchical_w1,0.1,0.02,True,0.0007510646728483499,0.00013858126578465474,6.362439204003715e-05,3000,0.040938059579558594,0.08787920136305015,0.8711827390573911,15.61398170638153,0.8711827390573912,0.03569695101346555,10.823741559979428,12.028120319471627,64.35412365356737,4.672799070170458e-05,rate,w1,0.0040816326530546
uptake,ISO_TRI,32,hierarchical_w1,0.1,0.04,True,0.0007706053238358427,0.00014179320480851168,0.006624140848627578,3000,0.03923140307157691,0.08767967415201544,0.8730889227764076,15.421866870549096,0.8730889227764076,0.0364673365468421,10.356835561031103,12.232502252047475,66.01389922795545,0.0011008207229203162,rate,w1,0.007993197278914
uptake,ISO_TRI,33,hierarchical_w1,0.1,0.08,False,0.0010245107858613393,0.00018852655984273473,0.09521080251830649,10000,0.07125843852948072,0.0962843032195196,0.8324572582509997,19.144177002438923,0.8324572582509997,0.044379676133904956,11.556933210095094,14.501620503273005,76.58594324525725,0.00477141473759745,rate,w1,0.0159863945578315
uptake,ISO_TRI,34,hierarchical_w1,0.1,0.16,False,0.0012981676779275318,0.00023820011660951956,0.036201959996648096,10000,0.08801216392740531,0.10652679460212675,0.805461041470468,21.402746443432086,0.8054610414704679,0.05278006004058709,14.620994332703706,19.66482683884358,87.5714224718665,0.002664841288241314,rate,w1,0.0321428571428636
uptake,ISO_TRI,35,hierarchical_w1,0.1,0.32,False,0.0018888410525635113,0.00033924564939831107,0.11542822264247787,10000,0.10489500574379979,0.12410752110437218,0.7709974731518279,24.195804415972543,0.770997473151828,0.05745321522500292,41.01154646655475,19.801026356817367,87.72012065536022,0.013986524236527631,rate,w1,0.0656462585034152
uptake,ISO_TRI,36,hierarchical_w1,0.1,0.64,False,0.0021773972585164185,0.00039387904419943407,0.007308455670430692,10000,0.10025654881516899,0.12870688517280365,0.7710365660120274,24.227744083477155,0.7710365660120273,0.06365274732010368,43.72997438375902,23.445652945681594,97.07055627948226,0.0016638046394192446,rate,w1,0.1454081632653086
uptake,ISO_TRI,37,hierarchical_logpf_profile,0.1,0.02,False,0.0010408356734063734,0.00019175979191677806,0.0027533360535151935,10000,0.05952948482870182,0.09067232894159491,0.8497981862297033,17.62923353627427,0.8497981862297033,0.03982342932909927,10.472001616207715,13.969292410024407,69.71413399835097,0.0009648338535104758,rate,logpf_profile,0.0040816326530546
uptake,ISO_TRI,38,hierarchical_logpf_profile,0.1,0.04,False,0.0009960111260404233,0.0001834096488316804,0.006631219352049243,10000,0.062126947133072985,0.08862906910649318,0.8492439837604339,17.67702507803879,0.8492439837604339,0.04374515724630958,12.861895730960319,13.939460573228153,76.64022842185803,0.0010411053820440393,rate,logpf_profile,0.007993197278914
uptake,ISO_TRI,39,hierarchical_logpf_profile,0.1,0.08,False,0.0012912587540331792,0.00023682568419227827,0.14000250519463792,10000,0.08526889513583899,0.10024950662096749,0.8144815982431937,20.63685500315746,0.8144815982431935,0.051708876568601896,18.561256996632903,17.578247915128554,85.8382725536867,0.00423421786629978,rate,logpf_profile,0.0159863945578315
uptake,ISO_TRI,40,hierarchical_logpf_profile,0.1,0.16,False,0.0016066103073990189,0.00029014460699270555,0.09019765488340777,10000,0.09524105134521016,0.10910948329393766,0.7956494653608522,22.187061031338196,0.7956494653608521,0.05464962841038757,28.576354201845795,19.65539253493552,86.70973154599287,0.021677118218991626,rate,logpf_profile,0.0321428571428636
