distance,quantile,sigma,factor,coupling,edges,degree_min,degree_median,degree_max,max_edge_fraction,effective_edges,cross_state_coupling_fraction,open_open_coupling,open_closed_coupling,open_intermediate_coupling,closed_open_coupling,closed_closed_coupling,closed_intermediate_coupling,intermediate_open_coupling,intermediate_closed_coupling,intermediate_intermediate_coupling
rmsd,0.02,0.004081632653054612,998.8716415206721,0.025502925680163425,2224,1,2.0,8,0.015830144369451852,90.75725913428415,0.04975380283419925,0.015497444719574444,0.0,0.006511142971410333,0.0,0.36332301981637405,0.018365758445689297,0.006511142971410333,0.01836575844568929,0.5714257326298523
rmsd,0.04,0.00799319727891401,883.1816100310058,0.04996947902604267,2224,1,2.0,8,0.007143489213276277,212.63994943440667,0.060971143407607134,0.01200855849330225,0.0,0.0036620467267485402,0.0,0.3565906210597363,0.026823524977055025,0.0036620467267485402,0.026823524977055025,0.5704296770393543
rmsd,0.08,0.015986394557831574,813.4144511981864,0.09967472324748089,2224,1,2.0,8,0.0032983143388736623,439.18797659364526,0.07209401209014012,0.01352920866666505,0.0,0.0026059168839587007,0.0,0.3528620710529287,0.03344108916111136,0.0026059168839587007,0.033441089161111354,0.5615147081902662
rmsd,0.16,0.03214285714286369,814.0237289970211,0.19761279674053003,2224,1,2.0,8,0.001664896336582821,835.6072779957154,0.07578634926439158,0.015516655011794023,0.0,0.0020643795572159525,0.0,0.3433014803056897,0.035828795074979845,0.0020643795572159525,0.035828795074979845,0.5653955154181247
rmsd,0.32,0.06564625850341521,862.7361771051279,0.3812224143723922,2224,1,2.0,8,0.0009146707257354913,1438.6360592064389,0.07714162677824796,0.016125119151674864,0.0,0.002032711045721209,0.0,0.34913544264308843,0.03653810234340277,0.002032711045721209,0.03653810234340277,0.5575978114269887
rmsd,0.64,0.1454081632653086,965.8872772993074,0.675934938559425,2224,1,2.0,8,0.0005775462224666643,2043.265094340209,0.07912956359178924,0.017329497488688148,0.0,0.002310578013548399,0.0,0.34820762600771993,0.03725420378234622,0.002310578013548399,0.03725420378234622,0.5553333129118027
w1,0.02,0.004081632653054612,676.3110902335418,0.025502925680163435,2224,1,2.0,6,0.010718196164583745,132.21852043207727,0.13040677842435336,0.0012022633769201894,0.0,1.9731637735438866e-14,0.0,0.26338325236404314,0.06520338921215695,1.973163773543887e-14,0.06520338921215695,0.6050077058346833
w1,0.04,0.00799319727891401,703.3289815291685,0.04996947902604265,2224,1,2.0,6,0.0056887767316190175,241.8595130748255,0.13168252509801198,0.005276571299552988,0.0,4.934874714495743e-06,0.0,0.288557703256569,0.06583632767429151,4.934874714495744e-06,0.06583632767429151,0.5744832003458661
w1,0.08,0.015986394557831574,722.9769699087636,0.09967472324748078,2224,1,2.0,6,0.0029315993870196277,478.8357962415277,0.15741583071182827,0.009446482514365109,0.0,0.0008474543765222309,0.0,0.28756946792343324,0.07786046097939191,0.0008474543765222307,0.07786046097939191,0.5455682188503734
w1,0.16,0.03214285714286369,728.4406579450273,0.19761279674053037,2224,1,2.0,6,0.001489856056561088,932.1732949951102,0.17300816400501573,0.011949804892462825,0.0,0.003186685289708437,0.0,0.28995312447394916,0.08331739671279943,0.0031866852897084372,0.08331739671279943,0.5250889066285722
w1,0.32,0.06564625850341521,781.4314290228303,0.38122241437239185,2224,1,2.0,6,0.0008284716362482378,1574.783135447304,0.18335270577136129,0.01307484244675475,0.0,0.005027179873327945,0.0,0.2942900915021407,0.0866491730123527,0.005027179873327944,0.0866491730123527,0.5092823602797432
w1,0.64,0.1454081632653086,918.7818767291031,0.6759349385594244,2224,1,2.0,6,0.0005493798444673921,2097.1539233424633,0.19236052723440333,0.013897646714867401,0.0,0.00601867056253648,0.0,0.29405981343413895,0.09016159305466517,0.00601867056253648,0.09016159305466517,0.4996820126165904
logpf_profile,0.02,0.004081632653054612,783.2600838931804,0.02550292568016343,2224,1,2.0,10,0.01241312666358384,115.81189847798989,0.12400885382551306,0.011812500351059076,0.0,0.007742492606726691,0.0,0.33929567826629015,0.05426193430602984,0.007742492606726691,0.05426193430602984,0.5248829675571376
logpf_profile,0.04,0.00799319727891401,748.7436054152355,0.04996947902604267,2224,1,2.0,10,0.006056106476906317,239.74883631147304,0.12122071009831334,0.01173867187828031,0.0,0.007218537687009707,0.0,0.33938883685559773,0.05339181736214696,0.007218537687009707,0.053391817362146966,0.5276517811678088
logpf_profile,0.08,0.015986394557831574,723.1457739016365,0.09967472324748085,2224,1,2.0,10,0.002932283870347075,486.42568067551565,0.11468474088964598,0.013496810657120438,0.0,0.0055513007665703735,0.0,0.33437295883840595,0.051791069678252616,0.0055513007665703735,0.051791069678252616,0.5374454896148276
logpf_profile,0.16,0.03214285714286369,728.7467050969907,0.1976127967405302,2224,1,2.0,10,0.001490482004876814,932.6553626775204,0.11848966781310886,0.014600110397271738,0.0,0.004343547385486508,0.0,0.3246798015422817,0.054901286521067925,0.004343547385486508,0.054901286521067925,0.5422304202473376
logpf_profile,0.32,0.06564625850341521,785.3456390714093,0.38122241437239207,2224,1,2.0,10,0.0008326214718999982,1560.6359309489098,0.12439366959703103,0.015732853351293315,0.0,0.0036516657041350447,0.0,0.3214109618232228,0.05854516909438048,0.0036516657041350447,0.05854516909438048,0.538462515228453
logpf_profile,0.64,0.1454081632653086,923.3366777096107,0.675934938559425,2224,1,2.0,10,0.0005521033590660465,2090.4832254178045,0.12593178198721686,0.016201321905864895,0.0,0.0036216232006872095,0.0,0.32220966500177545,0.059344267792921214,0.0036216232006872095,0.059344267792921214,0.5356572311051429
