arm,family,distance,quantile,strength,ensemble,stage,converged,mse,objective,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
25,hierarchical_rmsd,rmsd,0.02,0.1,ISO_TRI,uptake,False,0.0016714696805087065,0.011083426160831716,0.021035518043320853,10000,0.31785459018123513,0.44592996951380487,0.2362154403049601,63.98320812990546,0.23621544030496006,0.004012060502243877,2.833910294130398,8.923208297720985,1.031650714136904
26,hierarchical_rmsd,rmsd,0.04,0.1,ISO_TRI,uptake,True,0.001988515288729228,0.013090872889039451,0.0015632285894351813,1000,0.33810375824852673,0.43076175203136263,0.23113448972011066,64.29159399661508,0.23113448972011064,0.004117751084257626,3.807392100614356,6.004066040775894,1.1079676226493524
27,hierarchical_rmsd,rmsd,0.08,0.1,ISO_TRI,uptake,True,0.002020335363903088,0.013301493552542286,6.403099261689747e-06,1000,0.34168594759956294,0.4344234516787051,0.22389060072173184,64.90001113918015,0.2238906007217319,0.004006010437086874,3.6742290987457538,5.81365778416987,1.0453217163173645
28,hierarchical_rmsd,rmsd,0.16,0.1,ISO_TRI,uptake,True,0.0023188599428458777,0.015280256251905239,0.003672708686309373,1000,0.3281111260238369,0.4683229210284725,0.20356595294769075,66.80123619041906,0.20356595294769067,0.0041542351603661995,2.3211601282709933,9.766916321415142,1.0530565277753619
29,hierarchical_rmsd,rmsd,0.32,0.1,ISO_TRI,uptake,True,0.002370014574259515,0.01563689380705009,0.00504396866571912,3000,0.2912647243500729,0.46664492500737503,0.24209035064255194,63.49398757432564,0.24209035064255202,0.0032359974236237906,1.2199080400808942,14.370421210358863,1.0814900831862466
30,hierarchical_rmsd,rmsd,0.64,0.1,ISO_TRI,uptake,True,0.0031985273194458973,0.021081532682667443,0.0035005216183059615,3000,0.18506471081056552,0.5541474026018499,0.2607878865875844,59.9739913976079,0.26078788658758445,0.004884887479392605,41.897824723563524,9.41687542985361,1.1610030867442203
31,hierarchical_w1,w1,0.02,0.1,ISO_TRI,uptake,True,0.0017020658453270343,0.011203279589065017,1.2356456436104693e-06,3000,0.3181843341889828,0.4624864985207907,0.21932916729022672,65.43545291371566,0.2193291672902266,0.004039290743393899,2.3789633620946313,9.712459024643719,1.0303760871346974
32,hierarchical_w1,w1,0.04,0.1,ISO_TRI,uptake,True,0.0018062681990344955,0.011890638429056355,5.344974534780242e-06,3000,0.3299349271736969,0.4504320272851541,0.2196330455411491,65.36573719533487,0.21963304554114907,0.0037261488841032267,2.1628062754756954,8.358438788149156,1.0483842023886247
33,hierarchical_w1,w1,0.08,0.1,ISO_TRI,uptake,True,0.0018949794518231284,0.01247880278723614,2.249566998059645e-06,1000,0.33781074561125857,0.458896510077766,0.20329274431097538,66.78236878125242,0.2032927443109754,0.0037791468734115546,2.2312531790566115,7.303410712357786,1.0611188636700775
34,hierarchical_w1,w1,0.16,0.1,ISO_TRI,uptake,True,0.0020318766577307173,0.013399514042975418,8.692711332309908e-05,1000,0.33985912811732727,0.44730702582585097,0.2128338460568218,65.90599881321441,0.21283384605682176,0.003665706839205878,2.482245575652795,5.848182855259845,1.082109631358162
