Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,val_loss,22.293418006806874,-85.6185104779767,130.20534649159043,False
metric,d_mse_test,50.48237999511092,-57.42954848967267,158.3943084798945,False
metric,d_mse_train,28.954602217333182,-78.95732626745044,136.86653070211682,False
metric,d_mse_val,52.37078155456513,-55.54114693021849,160.28271003934873,False
metric,test_mse,50.48237999511096,-57.4295484896726,158.3943084798945,False
metric,train_mse,28.954602217333225,-78.95732626745033,136.8665307021168,False
metric,val_mse,52.3707815545651,-55.5411469302184,160.28271003934861,False
metric,kl_divergence,59.16902716860023,-48.74290131618336,167.08095565338382,False
metric,work_density,58.02380299706025,-49.88812548772324,165.93573148184373,False
metric,work_fitting,59.66853983916556,-48.24338864561791,167.58046832394905,False
metric,work_magnitude,1.5636421783468495,-106.34828630643676,109.47557066313047,False
metric,work_opt,57.36590826021818,-50.546020224565424,165.27783674500176,False
metric,work_scale,58.715201632537855,-49.19672685224573,166.62713011732143,False
metric,work_shape,28.452043737801016,-79.45988474698257,136.3639722225846,False
metric,cluster_0,100.12602034598852,-7.785908138795833,208.03794883077288,False
metric,cluster_1,7.390274731953066,-100.52165375283055,115.30220321673669,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,-3.5891051413181114,-153.8253129282672,146.647102645631,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,-10.864400584795943,-39.60710601316167,17.87830484356978,False
exp,TeaA-IsoValidation,6.556674890364739,-144.49199698460885,157.60534676533834,False
loss,Aggr,0.0,0.0,0.0,True
split,sequence_cluster,0.0,0.0,0.0,True
split,spatial,-0.3327546296293499,-24.444162096953708,23.77865283769501,False
