Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,val_loss,67.670324175852,-67.39383764833109,202.73448600003508,False
metric,d_mse_test,72.0227851894972,-63.04137663468606,207.08694701368046,False
metric,d_mse_train,77.51150215939086,-57.552659664791776,212.5756639835735,False
metric,d_mse_val,67.48571431013835,-67.57844751404483,202.54987613432152,False
metric,test_mse,72.02278518949709,-63.04137663468572,207.0869470136799,False
metric,train_mse,77.51150215939091,-57.55265966479189,212.57566398357372,False
metric,val_mse,67.4857143101381,-67.57844751404461,202.5498761343208,False
metric,kl_divergence,50.90272278425561,-84.16143903992688,185.9668846084381,False
metric,work_density,59.781594345875824,-75.28256747830733,194.84575617005896,False
metric,work_fitting,59.329460925906254,-75.73470089827688,194.3936227500894,False
metric,work_magnitude,74.47703037035062,-60.58713145383244,209.54119219453366,False
metric,work_opt,57.411278123220434,-77.65288370096275,192.4754399474036,False
metric,work_scale,51.5214450335518,-83.54271679063135,186.58560685773494,False
metric,work_shape,38.56220472599277,-96.5019570981904,173.62636655017593,False
metric,cluster_0,62.1066464630538,-72.95751536112903,197.17080828723664,False
metric,cluster_1,89.38643447474736,-45.677727349435756,224.45059629893046,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,-2.408409986362201,-191.91899243989897,187.1021724671746,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,-67.04840805718602,-87.35440850260414,-46.742407611767895,False
exp,TeaA-IsoValidation,-47.81885178123397,-237.65552033314634,142.0178167706784,False
loss,MSE,0.0,0.0,0.0,True
loss,Sigma_MSE,-3.1824261898949375,-23.488426635311736,17.123574255521863,False
loss,mcMSE,-14.925669570336837,-35.23167001575369,5.380330875080016,False
split,sequence_cluster,0.0,0.0,0.0,True
split,spatial,-1.350435550682704,-18.339654422146037,15.638783320780629,False
