arm,family,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
0,unregularised,0,0.3048112956945834,0.5069756215677763,0.1882130827376403,68.12833655352004,0.1882130827376403,0.06290221829470664,25.88563977897792,94.4687714617437,42.42156757042113
0,unregularised,1,0.3048558460348206,0.5068115025912506,0.18833265137392868,68.11805870295208,0.18833265137392874,0.0628580294701406,25.85961847015891,94.38998077085346,42.48298724591327
1,maxent,0,0.31715145851634585,0.4998800285737601,0.18296851290989402,68.65743557619346,0.18296851290989402,0.071904064572924,25.34067131958,139.29429210674604,68.69810928816544
1,maxent,1,0.31709716052704806,0.4998983027304626,0.18300453674248934,68.65399570532588,0.18300453674248934,0.07191879085801238,25.3439465724387,139.27059626304265,68.70323636383803
2,maxent,0,0.3108395316599621,0.47994433813566917,0.2092161302043689,66.31381310427818,0.20921613020436883,0.0840438409478602,25.503926440073442,198.0613993474832,110.485261803618
2,maxent,1,0.3108393921962465,0.47994215094767134,0.20921845685608215,66.31361083482565,0.20921845685608215,0.0840439622757344,25.503935855266413,198.06290414972256,110.48311381902006
3,maxent,0,0.28208742295617956,0.4385763799192004,0.27933619712462,60.4850696441007,0.27933619712462,0.11266343665592642,25.304407527465624,404.7224104288138,211.2845748803104
3,maxent,1,0.28208660059747226,0.43857609663539227,0.27933730276713564,60.48498107922507,0.27933730276713553,0.1126637612962953,25.304405289522208,404.72170971684915,211.28261286897313
4,maxent,0,0.19083796657012345,0.39237450956605524,0.41678752386382123,49.85305232956462,0.4167875238638213,0.20952966512118526,23.6581941832356,747.4705659793943,434.68515077793415
4,maxent,1,0.19083796657002466,0.3923745095660208,0.41678752386395457,49.853052329554295,0.41678752386395457,0.20952966512157728,23.65819418327065,747.4705659795366,434.68515077828124
5,maxent,0,0.04145366478085698,0.3814778417835451,0.5770684934355981,34.59585347365083,0.577068493435598,0.9378264075307363,39.52893760714734,826.2665602486738,1282.5868262851798
5,maxent,1,0.04145366478085698,0.38147784178354505,0.577068493435598,34.59585347365083,0.577068493435598,0.9378264075307365,39.52893760714735,826.2665602486738,1282.586826285179
6,maxent,0,0.02126443555156611,0.3746723035582028,0.6040632608902312,31.37988516292539,0.6040632608902312,0.999233778632606,43.985741315674225,829.9493086381596,1349.6503228070658
6,maxent,1,0.021264362248910915,0.3746717859798883,0.6040638517712009,31.379847648667404,0.6040638517712008,0.9992338557361714,43.985741060073394,829.9495113259467,1349.650243909104
7,scalar_logpf,0,0.1015917236564537,0.46179062039097846,0.43661765595256796,45.84383320992293,0.4366176559525679,0.18162740628293,36.59494082731543,194.8108792453084,173.64835227560272
7,scalar_logpf,1,0.09583947335914687,0.4623588260235505,0.4418017006173026,45.25791302244486,0.4418017006173026,0.20246589830703687,40.88268528276468,219.3708321496257,191.23872084135905
8,scalar_logpf,0,0.07069505346285544,0.46274044889440175,0.46656449764274294,42.43232642231247,0.4665644976427429,0.2872275968597159,40.80776747931139,317.5772715948707,283.4342935832773
8,scalar_logpf,1,0.07023613210149428,0.4617863925329303,0.46797747536557543,42.328098431164165,0.46797747536557543,0.28650472725459725,40.806797381775375,319.21059548142046,280.85921594369177
9,scalar_logpf,0,0.0460628441555413,0.4617336041190176,0.4922035517254411,39.27475723228464,0.4922035517254411,0.5451272498211112,42.17377947335918,597.4922076591243,580.5061271113534
9,scalar_logpf,1,0.04609486797395843,0.4632544640728654,0.49065066795317624,39.35425875852938,0.4906506679531762,0.5448007986898674,42.19610745615416,599.2047126945968,578.0640667489636
10,scalar_logpf,0,0.03756809594413161,0.4510688694723478,0.5113630345835207,37.57650978757261,0.5113630345835206,0.6970159731131803,42.75335271675083,733.3532561298223,782.0924795958986
10,scalar_logpf,1,0.037554286403968754,0.4507222658632165,0.5117234477328148,37.55760816645976,0.5117234477328148,0.6974144141458298,42.74468881197841,732.9612031092685,783.3658062091491
11,scalar_logpf,0,0.03175193137273698,0.4346082338578736,0.5336398347693894,35.933250510667705,0.5336398347693894,0.806025833113295,43.49644428805744,796.2989226299103,958.1283309687293
11,scalar_logpf,1,0.031761150080147176,0.434713471106698,0.5335253788131548,35.93974335328717,0.5335253788131549,0.8056221883956353,43.49443766430206,796.2931248396671,957.2399740495599
12,scalar_logpf,0,0.027755287450666053,0.41701724285155495,0.555227469697779,34.47802612134095,0.555227469697779,0.8820885557594852,43.877533840319884,824.6257447970761,1096.7945601119281
12,scalar_logpf,1,0.027732362103704857,0.41672105191429387,0.5555465859820012,34.46003786621079,0.5555465859820012,0.8829506672872084,43.87747736402716,824.6226892991116,1098.7195884434739
13,profile_logpf,0,0.0690465402562267,0.46702297463762044,0.4639304851061528,42.457877467066865,0.46393048510615287,0.44162966929966646,43.75037698817725,507.0830991917524,449.7249194573575
13,profile_logpf,1,0.06904655369652556,0.4670230270549669,0.4639304192485074,42.4578817957665,0.4639304192485075,0.4416296105115851,43.75037676441175,507.08307220249657,449.7248171058556
14,profile_logpf,0,0.0564785232274077,0.46444091364115436,0.47908056313143793,40.773424720305464,0.47908056313143793,0.5418594110225617,43.77923009294963,611.5164966393163,568.3437272756219
14,profile_logpf,1,0.056478431873005885,0.46444030358720123,0.4790812645397929,40.77338228327465,0.4790812645397929,0.5418595644654413,43.77923051978969,611.516555543462,568.3440373395265
15,profile_logpf,0,0.046172746865840664,0.4556291883330301,0.49819806480112927,38.98699015836286,0.49819806480112927,0.6436960471538995,43.81429571685319,696.3939805967145,706.2155730099619
15,profile_logpf,1,0.046172539093231366,0.45562437598803385,0.49820308491873466,38.986723275686295,0.4982030849187347,0.6436962921464638,43.81429628804764,696.3937886859467,706.2169698012237
16,profile_logpf,0,0.03773145433538204,0.44137467942330677,0.5208938662413112,37.12400598411209,0.5208938662413112,0.7603877574852655,43.84262576477197,777.9500533019157,880.4404475139689
16,profile_logpf,1,0.03773140302630503,0.44137426245453215,0.5208943345191629,37.123978238256996,0.5208943345191628,0.7603879469313427,43.84262676045046,777.949745641774,880.441128025858
17,profile_logpf,0,0.031865046279136076,0.42630923965767054,0.5418257140631935,35.5432143055038,0.5418257140631935,0.8406217875267015,43.88279834317982,813.6416469775544,1018.8428337981962
17,profile_logpf,1,0.03187807699698011,0.42623548513298803,0.5418864378700319,35.54148875974632,0.5418864378700319,0.8397986961943247,43.8830151835136,812.6735266168486,1017.9531565511315
18,profile_logpf,0,0.028140495994455356,0.41484652740565,0.5570129765998947,34.42919453897174,0.5570129765998947,0.8866711194239455,43.922446016710936,825.8412943801616,1106.255572536322
18,profile_logpf,1,0.02814037854632856,0.41484469538478935,0.5570149260688821,34.42908680462708,0.5570149260688821,0.8866717597694607,43.922446381372644,825.8413385094461,1106.2568619128558
25,hierarchical_rmsd,0,0.2997104402042472,0.5241846659024316,0.17610489389332115,69.16164999632251,0.17610489389332118,0.055621668537829495,21.83069751977671,87.11510716631614,38.217108026386676
25,hierarchical_rmsd,1,0.29980115899784915,0.5236969592981899,0.17650188170396097,69.12713000479847,0.17650188170396094,0.05551004365185191,21.766173575316618,86.96178605989185,38.30143140912898
26,hierarchical_rmsd,0,0.3119859760922202,0.5117286375423791,0.17628538636540086,69.2416763526754,0.1762853863654008,0.06715525687738082,28.861492438135567,104.64055118480606,38.01418830560831
26,hierarchical_rmsd,1,0.3111153814341829,0.5127561965180664,0.1761284220477508,69.25078791778542,0.17612842204775078,0.06648266804706497,28.494632757176756,103.76433982455109,37.395443572473006
27,hierarchical_rmsd,0,0.27936314882767477,0.46934890879730723,0.25128794237501795,62.692741269724316,0.25128794237501795,0.0608624785946104,20.604121002525343,103.39198714454226,43.070515745590825
27,hierarchical_rmsd,1,0.28619883978083316,0.47169819287161735,0.24210296734754946,63.470100989631064,0.2421029673475495,0.06431126632147804,22.664919701552236,107.85510612065474,44.689060011096
28,hierarchical_rmsd,0,0.2709842970606214,0.4733044202680339,0.2557112826713448,62.28190749392354,0.2557112826713448,0.07609410330081454,30.829369054839816,97.60003025391784,53.196191790632085
28,hierarchical_rmsd,1,0.26526014416298366,0.48482033990689494,0.2499195159301215,62.678433223694775,0.24991951593012146,0.08218173601237623,31.047124627972558,114.96057817407176,53.94296095895548
29,hierarchical_rmsd,0,0.24054086982082973,0.46744512322943604,0.2920140069497343,59.20436065339306,0.29201400694973423,0.12504105289248305,43.84859155429137,175.54886140406785,82.78123781605716
29,hierarchical_rmsd,1,0.24120078398691627,0.47534226284575515,0.28345695316732855,59.839631328489936,0.28345695316732855,0.12408391513079697,43.872400813641065,169.17210496780692,83.66446408715136
30,hierarchical_rmsd,0,0.1804826566856525,0.4484182517311457,0.37109909158320176,52.65230087521395,0.37109909158320176,0.15887090728881295,43.9855023303581,240.97731052830767,109.82376948820415
30,hierarchical_rmsd,1,0.1819308292588635,0.4410851323688102,0.3769840383723263,52.30507962785925,0.3769840383723263,0.15988995538328554,43.98097488144533,243.62871889508978,112.81144049973454
31,hierarchical_w1,0,0.3062090938517464,0.4939309731799978,0.1998599329682559,67.11365980488641,0.19985993296825588,0.060629476939040375,24.506945703930878,94.22342808967764,40.04006250077606
31,hierarchical_w1,1,0.3061011071675509,0.4939331468146379,0.19996574601781134,67.10395291319504,0.19996574601781125,0.060644478594911067,24.49376888779341,94.2552684587303,40.09615992788319
32,hierarchical_w1,0,0.3142134104576487,0.5110733648313197,0.17471322471103157,69.39741345913157,0.17471322471103157,0.0590384783465052,23.350922406231934,100.91601331274745,38.33417236228306
